Semana;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
32;1;6;2;4;0;1;8;80;16;2;1;2;0;2;1;0;1;5;3;4;6;2;1;1;4;5;0;17;0;42;0;7;2;5;3;0;0;1;1;2;3;1;9;0;5;3;3;6;2;1;39;0
33;1;9;5;5;0;0;11;112;22;3;2;1;0;5;3;0;0;2;5;5;5;2;2;0;5;5;0;11;0;72;0;5;3;6;1;0;1;2;0;3;3;0;2;0;2;3;2;17;2;0;48;0
34;4;10;10;9;2;2;19;84;28;5;3;1;0;2;7;1;0;3;5;8;7;3;2;2;6;5;1;10;1;131;0;11;7;8;0;1;3;1;2;5;2;0;14;1;9;3;3;27;4;1;40;1
35;6;13;33;9;1;3;27;89;26;5;3;2;0;4;6;1;1;6;8;8;5;5;4;1;5;7;1;9;1;213;0;18;14;8;2;0;42;1;6;13;5;3;5;1;7;5;6;32;9;2;40;3
36;8;19;15;10;4;3;30;89;46;4;5;3;0;4;16;1;1;8;11;13;6;7;3;1;5;6;2;6;4;237;1;32;21;8;2;2;15;3;5;9;4;3;10;3;11;4;11;28;11;2;37;5
37;6;16;11;14;4;3;28;76;40;5;7;7;1;9;9;2;1;10;14;17;11;10;4;1;4;6;2;4;7;303;1;32;40;13;5;1;16;2;7;9;6;3;18;2;7;5;18;32;11;3;40;4
38;9;20;10;10;6;8;29;95;43;10;5;6;1;15;9;3;2;12;21;25;10;10;6;1;4;7;4;5;3;324;2;39;29;17;4;4;18;4;8;9;4;4;33;2;10;9;20;35;21;5;34;5
39;7;21;7;11;6;9;29;93;40;11;9;4;0;18;9;3;2;12;17;17;11;14;10;1;6;9;8;4;7;413;2;38;21;24;5;4;12;5;10;10;5;2;30;3;6;11;28;29;21;6;30;5
40;9;20;7;11;7;11;25;99;38;13;9;5;0;15;8;3;2;13;21;19;14;13;8;1;3;14;8;5;3;404;2;40;19;21;7;4;10;4;12;13;6;1;44;2;9;9;31;26;24;11;31;5
41;10;16;4;17;15;10;20;114;44;12;5;6;2;12;12;8;4;15;29;19;25;17;10;4;4;13;15;5;2;394;4;47;26;27;14;6;10;6;9;13;8;2;48;1;10;7;38;44;28;10;37;4
