Semana;TOTAL_CAMAS;OCUPADAS_COVID19;OCUPADAS_NO_COVID19;INGRESOS_COVID19;ALTAS_24h_COVID19
32;114526;2959;71563;451;310
33;114090;3740;70411;623;396
34;114611;4964;69083;782;513
35;114096;6455;68465;951;723
36;115405;7475;69543;1005;793
37;116768;8765;70415;1131;905
38;118372;10194;72608;1273;1031
39;121684;10945;72225;1258;1116
40;119561;10666;73335;1173;1140
41;121753;10453;74163;1268;1263
42;121635;11819;74653;1421;1142
43;121918;14602;74300;1868;1464
44;122644;17621;71389;2247;1839
45;123001;20033;69598;2222;2045
46;123465;20135;69474;2070;2204
47;123128;18043;69823;1636;2107
48;122948;14896;71307;1294;1749
49;122478;12563;72129;1095;1482
50;121890;11551;72602;1020;1093
51;122828;11235;75321;1137;1164
52;121418;11196;64387;1157;1100
53;121048;12103;63352;1300;1104
54;122860;14904;67648;1837;1311
55;125089;19765;71167;2673;1835
56;127032;27109;67972;3524;2556
57;128277;30757;65224;3326;3238
58;128690;28685;64988;2541;3250
59;128105;22739;67456;1755;2810
60;126756;16627;70708;1239;2107
61;125963;12472;74036;1026;1537
62;125501;10115;76709;855;1128
63;124995;8755;78413;797;970
64;124890;7869;79409;771;850
65;124841;7755;80650;838;850
66;122833;8253;73581;965;799
67;124907;9425;79441;1106;1002
68;125369;9846;80616;1176;1130
69;125589;10021;80854;1121;1108
70;125423;9695;81137;1035;1129
71;125375;8719;80958;848;1032
72;125043;7221;81652;681;920
73;124821;5839;82741;544;756
74;124465;4884;83074;496;590
75;123612;4195;83782;423;522
76;122983;3560;84312;362;477
77;122753;2914;85386;296;386
78;121397;2430;82588;272;324
79;120509;2434;83529;329;309
80;119620;3121;82217;544;352
81;119316;5017;79957;940;567
82;119334;7888;77496;1344;914
83;118993;9844;74820;1356;1186
84;117795;10168;72051;1228;1312
85;116984;9433;71114;1073;1195
86;116492;8458;71751;860;1012
87;116322;7340;72803;734;876
88;117108;6255;74187;545;718
89;118040;5008;77299;406;570
90;119290;3918;80800;317;449
91;119166;3037;82008;252;364
92;119753;2486;84146;208;264
93;120648;2059;85633;177;225
94;119799;1836;84807;168;162
95;121623;1764;89553;205;202
96;121700;1652;89079;186;199
97;120676;1796;88579;209;167
98;122421;1953;91016;252;192
99;122985;2400;91215;348;235
100;123001;3327;91161;473;310
101;121551;4083;88947;572;443
102;119079;5381;82706;680;439
103;123321;6683;88090;851;693
104;122082;8056;78390;1172;916
