Semana;andalucia;aragon;asturias;cantabria;castilla-la_mancha;castilla_u_leon;cataluña;ceuta;c_valenciana;extremadura;galicia;i_baleares;i_canarias;la_rioja;madrid;melilla;murcia;navarra;pais_vasco
32;16380;3994;3276;1560;4456;5577;23157;167;11254;3107;8088;3218;5522;717;14502;177;3847;1743;3784
33;16184;4055;3284;1559;4465;5427;22945;168;11255;3092;8070;3298;5483;717;14380;177;3847;1733;3950
34;16333;4570;3284;1559;4461;5477;22793;164;11253;3108;8040;3353;5512;717;14537;177;3600;1729;3944
35;16398;4047;3288;1559;4418;5473;22903;162;11247;3110;8026;3289;5474;717;14699;177;3415;1714;3979
36;16395;4059;3284;1559;4516;5513;23119;159;11287;3099;8036;3185;5449;717;15017;177;3893;1785;4157
37;16501;4049;3276;1508;4566;6055;23148;157;11299;3314;8053;3182;5453;717;15316;177;3903;1797;4295
38;16606;4054;3413;1568;4582;6200;23525;156;11346;3126;8090;3196;5432;717;16013;177;3920;1839;4412
39;16635;4074;3277;1445;4459;6262;26243;166;11359;3133;8098;3221;5375;729;16318;177;3927;1864;4921
40;16650;4106;3305;1559;4689;6341;23646;176;11416;3150;8122;3267;5429;776;16493;177;3929;1923;4406
41;16556;4170;3335;1559;4720;6579;25298;178;11119;3155;8116;3308;5423;810;16901;177;3942;1951;4455
42;16614;4158;3384;1553;4742;6634;24891;183;11499;3063;7968;3289;5399;810;16982;177;3817;1951;4521
43;16585;4516;3375;1553;4811;6802;24156;187;11415;3108;8124;3308;5439;810;17021;177;3969;1965;4595
44;16684;4181;3373;1584;4825;6923;24688;187;11476;3188;8228;3293;5447;810;16985;179;3987;1978;4630
45;16782;4173;3389;1603;4868;6994;24803;187;11495;3157;8228;3306;5452;810;16997;179;3958;1985;4635
46;16827;4135;3428;1606;4868;7068;25122;193;11530;3188;8268;3313;5453;810;16989;179;3949;1957;4582
47;17050;4144;3441;1605;4907;7078;24975;202;11474;3180;8121;3313;5453;810;16768;179;3948;1928;4551
48;17104;4162;3481;1606;4923;6995;24784;202;11437;3179;8238;3310;5450;810;16711;179;3956;1864;4557
49;17057;4149;3482;1607;4876;6914;24767;202;11472;3136;8234;3331;5436;810;16475;179;3953;1851;4549
50;16815;4172;3498;1604;4864;6852;24625;200;11299;3099;8216;3308;5441;799;16467;179;3944;1901;4605
51;17015;4177;3488;1605;4864;6925;24677;198;11538;3178;8263;3342;5434;810;16727;179;3949;1909;4550
52;16594;4165;3431;1610;4839;6862;24462;198;11439;3169;8212;3197;5431;799;16454;179;3936;1875;4567
53;16784;4157;3458;1610;4816;6683;24260;200;11419;3168;8208;3289;5433;810;16325;179;3933;1861;4485
54;17068;4497;3471;1610;4857;6763;24505;199;11648;3172;8249;3324;5444;810;16622;179;3940;1872;4631
55;17573;4205;3491;1610;5060;6946;25057;199;11841;3190;8403;3343;5445;810;17003;181;3999;1899;4833
56;17661;4205;3488;1610;5382;7148;25302;200;12079;3093;8471;3332;5448;818;17708;182;4030;1919;4956
57;17749;4206;3494;1613;5447;7326;25397;201;12476;2957;8408;3343;5451;837;18012;182;4139;1942;5097
58;18069;4200;3489;1618;5504;7390;25335;199;12454;2971;8484;3351;5462;837;17986;182;4161;1948;5051
59;18172;4209;3495;1618;5373;7258;25293;199;12366;2970;8381;3339;5463;837;17811;182;4172;1945;5019
60;17750;4204;3495;1597;5287;7071;25368;200;12092;2959;8436;3317;5464;837;17423;182;4128;1941;5005
61;18001;4205;3496;1582;5178;7037;25212;201;11656;2965;8384;3313;5459;821;17212;182;4130;1943;4987
62;18050;4197;3502;1576;5110;6980;25238;200;11557;2942;8425;3292;5449;723;17070;182;4123;1942;4941
63;18030;4200;3506;1572;4955;6920;25242;200;11449;2941;8414;3170;5445;723;17039;182;4130;1932;4944
64;18003;4194;3490;1572;4943;6763;25326;201;11362;2944;8400;3196;5464;723;17133;182;4118;1927;4949
65;18065;4185;3474;1572;4923;6761;25200;200;11403;2937;8416;3211;5461;723;17111;182;4120;1918;4979
66;17833;4173;3460;1568;4826;6712;24458;201;11292;2948;8356;3235;5472;723;16606;182;4113;1901;4772
67;18120;4201;3494;1572;4873;6803;25092;200;11370;2948;8395;3248;5486;723;17191;182;4121;1907;4980
68;18133;4202;3486;1517;4920;6796;25147;201;11374;2945;8416;3257;5532;723;17427;182;4121;1954;5035
69;17997;4192;3488;1517;4888;6845;25276;200;11410;2945;8415;3260;5543;723;17562;182;4117;1959;5070
70;18104;4202;3493;1517;4953;6831;25154;201;11416;2872;8307;3292;5550;723;17534;182;4100;1961;5031
71;18100;4213;3473;1517;4975;6791;25230;199;11409;2944;8386;3296;5539;723;17481;182;3984;1950;4984
72;18101;4227;3449;1517;4981;6803;24998;200;11406;2947;8400;3298;5507;723;17363;182;4093;1935;4914
73;18076;4230;3448;1518;4972;6683;25170;200;11389;2945;8460;3281;5511;723;17092;182;4110;1919;4910
74;18072;4222;3454;1496;4976;6742;25019;198;11348;2945;8444;3283;5508;723;16927;182;4117;1910;4897
75;18041;4186;3433;1399;4952;6621;24859;197;11117;2945;8468;3232;5519;723;16819;182;4102;1906;4912
76;18010;4146;3413;1387;4951;6541;24709;198;11137;2943;8362;3214;5526;723;16681;182;4107;1889;4865
77;17980;4119;3334;1399;4953;6521;24715;199;11154;2926;8373;3184;5515;723;16628;182;4110;1893;4844
78;17976;4109;3351;1387;4953;6404;24149;198;10956;2908;8345;3173;5517;713;16267;182;4117;1874;4817
79;17949;4054;3241;1387;4846;6304;24402;198;11043;2882;8242;3224;5510;706;15745;182;4074;1816;4703
80;17935;4004;3278;1384;4794;6256;24317;200;11065;2881;8167;3232;5462;703;15330;182;4031;1786;4616
81;17931;3992;3325;1325;4789;6335;24204;201;10905;2844;8155;3270;5475;703;15247;182;4032;1785;4615
82;17873;3969;3333;1352;4792;6383;24211;201;11041;2882;8167;3222;5511;703;15176;182;4032;1779;4525
83;17741;3981;3351;1363;4750;6348;24146;198;11027;2884;8141;3256;5513;703;15141;182;4032;1774;4464
84;17735;3968;3336;1363;4682;6290;23887;198;10796;2866;8071;3296;5524;703;14725;182;4031;1776;4366
85;17705;3887;3328;1363;4687;6165;23531;200;10814;2848;8131;3326;5523;703;14434;182;4032;1791;4335
86;17680;3985;3334;1363;4712;6266;22990;201;10792;2868;8105;3314;5526;703;14376;182;4032;1781;4282
87;17700;3977;3205;1363;4737;6203;22983;199;10673;2882;8121;3305;5531;703;14437;182;4032;1779;4311
88;17704;3981;3287;1361;4734;6233;23211;197;10858;2840;8137;3323;5541;712;14669;182;3968;1777;4392
89;17772;3977;3286;1339;4757;6197;23307;200;10830;2882;8193;3292;5555;713;15032;182;4031;1833;4663
90;17809;4060;3306;1340;4766;6230;23850;200;10895;2884;8231;3353;5524;713;15275;182;4057;1851;4763
91;17744;4103;3314;1335;4769;6317;23604;200;10914;2882;8145;3361;5540;706;15388;182;4013;1864;4787
92;17750;4123;3306;1358;4809;6382;24089;200;10674;2855;8168;3374;5531;719;15530;182;4065;1860;4778
93;17694;4128;3326;1462;4835;6476;24120;200;10793;2866;8162;3387;5543;723;16060;182;4053;1860;4778
94;17653;4125;3364;1448;4663;6439;24086;197;10790;2845;8132;3330;5357;723;15837;182;3984;1867;4776
95;17724;4167;3403;1469;4859;6550;24252;194;10929;2845;8245;3447;5541;716;16255;182;4091;1869;4883
96;17736;4191;3423;1469;4820;6703;23706;195;11041;2974;8320;3442;5546;723;16357;182;4035;1883;4954
97;17688;4134;3441;1469;4769;6581;23680;193;10919;2916;8004;3327;5534;723;16483;182;3881;1888;4863
98;17784;4187;3425;1469;4864;6599;24292;195;11044;3069;8426;3232;5541;723;16598;182;3979;1884;4928
99;17682;4190;3452;1469;4875;6679;24463;195;10994;2996;8423;3439;5539;723;16796;182;4023;1900;4967
100;17777;4190;3479;1469;4925;6702;24633;198;10839;2835;8454;3351;5543;723;16761;182;4080;1913;4948
101;17681;4188;3462;1469;4927;6739;24585;197;10690;2882;8305;3431;5545;723;16685;182;3155;1724;4979
102;17183;4119;3502;1454;4891;6559;23482;198;10667;2829;8053;3368;5436;723;16751;182;2978;1858;4845
103;17700;4174;3511;1487;4887;6823;24601;198;10938;2993;8420;3425;5543;723;16984;182;3933;1777;5022
104;17401;4131;3472;1465;4844;6818;24281;195;10918;3034;8409;3481;5519;723;16437;182;4105;1841;4823
