Semana;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
32;949;4406;1429;568;3276;2085;3218;17535;1902;895;1560;1382;167;1354;3491;413;1022;2571;1659;1314;2117;2005;390;967;546;1295;1242;1031;1218;14502;177;3847;2998;1743;904;483;2757;2475;717;651;2765;300;3457;203;2474;400;1349;5466;1056;374;3048;371
33;956;4425;1429;558;3284;2086;3298;17382;2099;885;1559;1327;168;1353;3491;413;1006;2596;1737;1293;2064;2005;394;960;550;1295;1263;1006;1196;14380;177;3847;2724;1733;906;342;2750;2478;717;652;2733;300;3437;198;2493;400;1349;5504;1031;385;3105;372
34;961;4424;1465;561;3284;2086;3353;17237;2069;906;1559;1364;164;1351;3491;405;1022;2592;1707;1314;2038;2002;394;947;550;1295;1253;1018;1062;14537;177;3600;2952;1729;1017;344;2757;2470;717;690;2755;300;3373;209;2500;400;1349;5465;1020;384;3620;371
35;903;4422;1429;578;3288;2088;3289;17355;2074;902;1559;1380;162;1353;3491;413;1022;2605;1707;1327;2026;2008;394;947;561;1295;1256;1028;1062;14699;177;3415;2952;1714;1022;338;2725;2451;717;687;2750;300;3455;215;2495;400;1355;5445;1027;382;3086;365
36;974;4411;1386;634;3284;2077;3185;17520;2130;902;1559;1378;159;1371;3491;391;1022;2642;1707;1393;2046;2005;390;947;559;1295;1291;1054;1062;15017;177;3893;2953;1785;1035;335;2726;2447;717;693;2723;300;3461;220;2499;400;1391;5497;1061;381;3100;330
37;978;4393;1429;663;3276;2292;3182;17577;2211;1043;1508;1382;157;1382;3491;416;1022;2670;1715;1422;2057;2005;395;947;551;1294;1259;1047;1062;15316;177;3903;2952;1797;1057;375;2728;2443;717;751;2725;340;3490;263;2467;399;1396;5524;1240;381;3100;403
38;979;4415;1429;669;3413;2086;3196;17827;2327;1023;1568;1382;156;1409;3516;392;1040;2697;1731;1416;2076;2005;406;939;551;1295;1254;1032;1062;16013;177;3920;2961;1839;1051;404;2701;2460;717;767;2731;347;3549;285;2590;398;1396;5549;1313;394;3105;413
39;792;4423;1429;669;3277;2086;3221;20552;2884;1028;1445;1383;166;1411;3522;413;1047;2696;1720;1369;2086;2005;414;947;559;1296;1258;1012;1062;16318;177;3927;2961;1864;1052;395;2710;2462;729;774;2665;347;3581;282;2594;398;1430;5553;1351;408;3117;421
40;985;4411;1429;666;3305;2087;3267;17929;2343;1042;1559;1383;176;1425;3525;413;1064;2661;1715;1398;2103;2005;417;947;577;1295;1265;1012;1062;16493;177;3929;2961;1923;1069;399;2716;2465;776;783;2712;347;3638;280;2602;399;1448;5622;1388;412;3130;425
41;987;4238;1429;651;3335;2087;3308;18039;2381;1071;1559;1302;178;1433;3523;413;1068;2653;1712;1424;2084;1999;421;947;591;1296;1368;2595;1021;16901;177;3942;2956;1951;1083;421;2717;2489;810;804;2707;346;3565;277;2580;401;1466;5579;1448;413;3179;432
