Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;1;0;0
5;0;0;0;0
6;0;0;0;0
7;0;1;0;0
8;0;0;0;0
9;1;2;0;0
10;3;1;0;0
11;21;6;1;1
12;58;43;8;8
13;167;90;17;17
14;119;34;7;7
15;49;12;3;3
16;40;12;1;1
17;18;7;0;0
18;8;3;0;0
19;13;5;1;1
20;10;2;0;0
21;4;3;1;1
22;10;3;0;0
23;14;3;0;0
24;3;1;0;0
25;3;1;0;0
26;8;0;0;0
27;20;6;2;2
28;94;3;1;1
29;216;8;1;1
30;232;19;2;2
31;373;33;3;3
32;645;44;10;10
33;862;51;8;8
34;932;62;3;3
35;978;86;11;11
36;952;62;5;5
37;788;44;7;7
38;655;40;7;7
39;559;26;2;2
40;543;34;4;4
41;523;45;3;3
42;669;41;2;2
43;1191;59;6;6
44;1479;78;11;11
45;1665;76;15;15
46;1784;88;15;15
47;1424;83;19;19
48;1046;85;24;24
49;745;91;10;10
50;633;54;8;8
51;752;63;8;8
52;637;51;6;6
53;949;58;10;10
54;2366;88;19;19
55;4274;176;27;27
56;5002;256;43;43
57;4435;304;45;45
58;3198;222;20;20
59;1719;143;25;25
60;1170;123;24;24
61;997;88;19;19
62;798;78;17;17
63;968;86;15;15
64;827;79;16;16
65;914;79;28;28
66;809;77;19;19
67;1188;80;27;27
68;978;72;11;11
69;965;69;20;20
70;601;54;16;16
71;504;45;10;10
72;314;22;5;5
73;328;29;2;2
74;277;24;9;9
75;235;13;1;1
76;299;27;2;2
77;228;12;3;3
78;316;20;3;3
79;533;12;4;4
80;699;20;1;1
81;1437;30;2;2
82;2153;62;7;7
83;2366;63;12;12
84;1919;57;7;7
85;1465;59;12;12
86;978;50;7;7
87;732;41;7;7
88;536;34;5;5
89;423;34;6;6
90;365;17;4;4
91;391;19;5;5
92;296;10;1;1
93;249;7;1;1
94;229;15;4;4
95;247;14;2;2
96;176;13;2;2
97;195;11;3;3
98;238;8;4;4
99;415;13;5;5
100;493;21;2;2
101;457;15;4;4
102;578;15;3;3
103;1843;26;4;4
104;3534;29;5;5
