Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;1;0;0
5;0;1;0;0
6;0;0;0;0
7;0;1;0;0
8;0;2;0;0
9;1;4;2;2
10;10;10;0;0
11;152;37;2;2
12;466;176;23;23
13;587;296;44;44
14;479;184;26;26
15;322;182;12;12
16;215;121;10;10
17;50;38;5;5
18;52;32;3;3
19;35;14;2;2
20;20;5;0;0
21;9;3;0;0
22;27;7;0;0
23;5;3;0;0
24;5;1;0;0
25;0;0;0;0
26;0;0;0;0
27;0;0;0;0
28;2;1;0;0
29;8;0;0;0
30;21;3;0;0
31;88;0;1;1
32;148;2;0;0
33;157;5;0;0
34;188;7;0;0
35;272;22;2;2
36;355;31;5;5
37;367;27;4;4
38;579;33;4;4
39;641;57;5;5
40;647;82;9;9
41;1073;139;5;5
42;1456;183;18;18
43;1923;319;14;14
44;2341;412;38;38
45;2877;529;29;29
46;3599;555;40;40
47;2401;555;30;30
48;1767;360;22;22
49;1408;223;20;20
50;885;150;11;11
51;660;94;10;10
52;528;84;5;5
53;724;84;5;5
54;1176;108;9;9
55;2082;229;15;15
56;2978;371;18;18
57;3445;474;39;39
58;2694;414;39;39
59;1583;307;30;30
60;1100;195;19;19
61;936;169;21;21
62;1008;153;18;18
63;810;126;8;8
64;798;122;15;15
65;841;101;10;10
66;810;108;17;17
67;849;105;16;16
68;886;129;20;20
69;797;105;26;26
70;589;82;12;12
71;386;49;8;8
72;349;26;3;3
73;371;47;7;7
74;361;42;8;8
75;353;41;9;9
76;383;26;3;3
77;356;28;5;5
78;405;23;1;1
79;1395;32;1;1
80;3169;54;7;7
81;3525;98;7;7
82;2976;145;10;10
83;2024;110;15;15
84;1363;76;5;5
85;944;52;5;5
86;543;44;8;8
87;419;36;1;1
88;296;33;2;2
89;141;16;3;3
90;82;5;0;0
91;94;4;1;1
92;71;2;0;0
93;88;15;0;0
94;118;10;1;1
95;155;11;0;0
96;222;10;1;1
97;200;16;4;4
98;267;15;2;2
99;530;46;5;5
100;1238;68;6;6
101;2255;94;7;7
102;3001;114;17;17
103;4438;127;10;10
104;7232;132;7;7
