Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;1;0;0
7;0;0;0;0
8;1;0;0;0
9;0;3;0;0
10;14;7;1;1
11;113;61;11;11
12;233;160;29;29
13;428;252;26;26
14;227;153;18;18
15;329;99;3;3
16;333;84;4;4
17;191;55;2;2
18;144;32;2;2
19;55;19;0;0
20;42;10;0;0
21;50;8;0;0
22;49;9;2;2
23;45;6;1;1
24;14;6;0;0
25;6;4;0;0
26;8;3;1;1
27;3;1;0;0
28;7;1;0;0
29;16;1;0;0
30;36;7;1;1
31;153;6;0;0
32;583;19;0;0
33;468;32;4;4
34;497;23;3;3
35;314;32;5;5
36;425;31;5;5
37;661;45;4;4
38;707;60;9;9
39;747;59;5;5
40;725;61;6;6
41;976;52;5;5
42;1152;94;10;10
43;1870;135;13;13
44;2234;162;13;13
45;2422;223;17;17
46;2171;195;13;13
47;1633;160;11;11
48;1053;109;15;15
49;671;123;8;8
50;493;95;11;11
51;413;50;5;5
52;238;50;3;3
53;301;46;4;4
54;629;38;3;3
55;1070;75;6;6
56;1256;109;8;8
57;1004;78;6;6
58;677;70;5;5
59;544;66;7;7
60;402;50;5;5
61;339;41;5;5
62;346;50;5;5
63;286;43;0;0
64;348;48;3;3
65;439;49;3;3
66;536;70;8;8
67;677;90;6;6
68;504;50;2;2
69;527;76;5;5
70;587;49;5;5
71;507;56;7;7
72;362;33;5;5
73;361;22;5;5
74;288;24;3;3
75;218;14;5;5
76;193;13;3;3
77;153;7;2;2
78;175;6;1;1
79;926;12;1;1
80;3178;46;1;1
81;2916;116;8;8
82;2341;116;7;7
83;1495;99;6;6
84;988;67;5;5
85;690;35;4;4
86;427;27;2;2
87;370;29;2;2
88;273;21;2;2
89;175;15;1;1
90;64;4;0;0
91;68;4;0;0
92;116;9;0;0
93;79;6;0;0
94;70;6;2;2
95;92;12;1;1
96;157;11;1;1
97;244;24;1;1
98;249;22;2;2
99;360;21;0;0
100;542;25;1;1
101;862;35;4;4
102;952;41;4;4
103;1558;27;2;2
104;2566;37;2;2
