Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;1;0;0
8;0;1;0;0
9;3;3;0;0
10;1;9;1;1
11;92;25;5;5
12;187;170;13;13
13;747;248;17;17
14;301;159;14;14
15;261;115;9;9
16;196;82;3;3
17;182;57;2;2
18;96;40;1;1
19;84;31;0;0
20;39;11;1;1
21;14;7;0;0
22;21;9;0;0
23;10;2;0;0
24;9;1;0;0
25;16;0;0;0
26;12;2;0;0
27;7;0;0;0
28;1;0;0;0
29;32;1;0;0
30;20;4;1;1
31;44;1;0;0
32;52;2;0;0
33;101;7;2;2
34;262;10;1;1
35;196;11;4;4
36;327;13;2;2
37;489;35;3;3
38;673;48;4;4
39;604;54;2;2
40;452;33;1;1
41;462;27;4;4
42;557;31;2;2
43;911;44;3;3
44;1029;60;6;6
45;831;75;2;2
46;612;57;4;4
47;554;50;3;3
48;494;53;5;5
49;353;37;1;1
50;379;27;2;2
51;887;58;4;4
52;912;55;2;2
53;1501;73;3;3
54;1885;95;11;11
55;2125;113;9;9
56;1769;128;16;16
57;1251;101;13;13
58;582;39;6;6
59;179;36;3;3
60;94;13;1;1
61;71;8;3;3
62;59;5;1;1
63;177;8;0;0
64;181;15;0;0
65;217;28;3;3
66;208;13;3;3
67;305;26;1;1
68;226;20;0;0
69;173;21;6;6
70;239;10;1;1
71;178;11;3;3
72;146;11;3;3
73;97;1;3;3
74;99;5;2;2
75;104;5;3;3
76;102;6;0;0
77;103;7;1;1
78;167;6;2;2
79;585;5;1;1
80;658;2;0;0
81;770;12;2;2
82;1076;21;4;4
83;1090;19;2;2
84;1074;37;2;2
85;1156;41;5;5
86;1524;60;5;5
87;1037;54;2;2
88;493;38;4;4
89;234;33;5;5
90;121;22;0;0
91;84;10;0;0
92;121;6;0;0
93;100;1;0;0
94;74;5;1;1
95;63;4;1;1
96;28;5;1;1
97;85;3;1;1
98;100;5;1;1
99;157;5;0;0
100;165;7;2;2
101;225;3;0;0
102;491;9;2;2
103;892;15;1;1
104;2811;14;2;2
