Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;1;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;1;0;0
9;1;2;0;0
10;3;4;1;1
11;29;19;2;2
12;183;113;23;23
13;408;258;34;34
14;300;130;13;13
15;280;99;6;6
16;147;36;2;2
17;57;14;1;1
18;49;9;0;0
19;27;6;0;0
20;30;5;0;0
21;21;1;0;0
22;31;1;0;0
23;18;2;0;0
24;10;1;0;0
25;7;1;0;0
26;23;1;0;0
27;16;0;0;0
28;28;4;1;1
29;34;0;0;0
30;137;2;0;0
31;64;3;0;0
32;80;2;0;0
33;151;8;0;0
34;283;16;3;3
35;454;27;4;4
36;401;34;5;5
37;404;28;7;7
38;343;47;10;10
39;390;29;4;4
40;379;31;5;5
41;349;23;2;2
42;493;40;7;7
43;978;71;7;7
44;1139;75;13;13
45;1408;91;11;11
46;1242;87;10;10
47;819;73;6;6
48;588;78;17;17
49;608;47;2;2
50;874;55;6;6
51;1397;94;8;8
52;1342;106;14;14
53;2079;108;12;12
54;3289;171;14;14
55;4890;276;31;31
56;4782;369;32;32
57;3598;280;28;28
58;2144;183;25;25
59;1025;94;16;16
60;505;34;6;6
61;258;35;3;3
62;164;6;1;1
63;119;8;1;1
64;100;15;1;1
65;90;14;4;4
66;138;13;5;5
67;147;10;3;3
68;206;22;6;6
69;274;18;6;6
70;212;33;8;8
71;148;10;1;1
72;124;8;1;1
73;143;8;1;1
74;185;18;3;3
75;167;17;3;3
76;102;5;1;1
77;97;13;1;1
78;160;5;1;1
79;686;7;1;1
80;1138;19;0;0
81;1703;53;5;5
82;1930;73;11;11
83;1533;60;14;14
84;1236;55;10;10
85;872;39;8;8
86;657;36;5;5
87;497;31;6;6
88;312;24;7;7
89;228;14;3;3
90;212;20;5;5
91;197;11;3;3
92;197;11;0;0
93;169;14;1;1
94;337;35;5;5
95;472;40;9;9
96;438;37;1;1
97;519;33;3;3
98;635;34;7;7
99;790;38;10;10
100;1091;55;5;5
101;1706;50;8;8
102;2262;77;10;10
103;3083;101;13;13
104;3550;93;12;12
