Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;0;0;0;0
10;1;0;0;0
11;1;0;0;0
12;6;0;0;0
13;22;5;2;2
14;54;4;2;2
15;11;0;0;0
16;4;0;0;0
17;1;1;0;0
18;1;0;0;0
19;9;1;0;0
20;7;0;0;0
21;7;1;0;0
22;22;2;0;0
23;17;1;0;0
24;0;0;0;0
25;0;0;0;0
26;0;0;0;0
27;0;0;0;0
28;0;0;0;0
29;2;0;0;0
30;0;0;0;0
31;2;1;0;0
32;2;0;0;0
33;16;2;0;0
34;39;2;0;0
35;56;5;0;0
36;64;2;1;1
37;73;2;0;0
38;60;6;1;1
39;98;10;4;4
40;111;5;1;1
41;177;7;1;1
42;173;2;1;1
43;304;18;2;2
44;417;26;2;2
45;474;20;0;0
46;276;29;1;1
47;214;14;3;3
48;94;12;0;0
49;69;8;0;0
50;49;7;1;1
51;42;4;0;0
52;47;3;0;0
53;116;2;0;0
54;172;13;1;1
55;185;12;3;3
56;252;16;2;2
57;243;11;0;0
58;219;4;2;2
59;183;4;0;0
60;114;4;3;3
61;110;2;1;1
62;136;6;4;4
63;86;11;0;0
64;132;17;1;1
65;99;10;2;2
66;191;6;2;2
67;231;19;1;1
68;146;22;5;5
69;89;7;0;0
70;38;12;2;2
71;7;4;2;2
72;8;1;0;0
73;16;3;0;0
74;77;3;0;0
75;71;0;0;0
76;25;2;0;0
77;5;0;1;1
78;11;2;0;0
79;12;0;0;0
80;29;2;0;0
81;87;1;1;1
82;131;7;0;0
83;112;5;2;2
84;178;7;1;1
85;229;3;1;1
86;283;1;0;0
87;177;3;0;0
88;117;6;0;0
89;86;3;0;0
90;63;4;0;0
91;46;2;0;0
92;26;1;0;0
93;10;0;0;0
94;8;1;0;0
95;5;1;0;0
96;2;0;0;0
97;1;0;0;0
98;13;2;0;0
99;36;2;1;1
100;44;0;0;0
101;94;2;1;1
102;228;4;0;0
103;489;4;0;0
104;368;8;2;2
