Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;1;0;0
8;0;1;0;0
9;0;0;0;0
10;0;3;0;0
11;75;21;4;4
12;162;91;17;17
13;438;215;26;26
14;385;105;10;10
15;137;52;8;8
16;60;28;3;3
17;52;8;1;1
18;25;10;3;3
19;17;11;2;2
20;7;5;1;1
21;4;2;0;0
22;4;0;0;0
23;8;4;0;0
24;2;1;0;0
25;1;1;0;0
26;0;1;0;0
27;1;1;0;0
28;10;0;0;0
29;97;0;0;0
30;43;5;1;1
31;121;2;1;1
32;142;6;0;0
33;286;7;1;1
34;521;21;2;2
35;613;37;4;4
36;676;54;9;9
37;839;54;4;4
38;979;94;13;13
39;1114;95;11;11
40;873;88;8;8
41;1512;91;9;9
42;1677;97;10;10
43;2766;160;7;7
44;2968;216;16;16
45;2412;214;15;15
46;1920;187;17;17
47;1265;156;23;23
48;909;94;8;8
49;716;52;10;10
50;567;45;6;6
51;563;47;3;3
52;516;44;6;6
53;828;53;3;3
54;1864;100;9;9
55;3449;170;24;24
56;4211;244;37;37
57;3266;289;45;45
58;1874;200;29;29
59;912;128;16;16
60;601;83;14;14
61;452;48;6;6
62;495;63;4;4
63;508;45;8;8
64;554;47;4;4
65;972;47;9;9
66;794;67;12;12
67;1139;72;11;11
68;837;87;11;11
69;843;67;17;17
70;684;66;10;10
71;554;60;12;12
72;539;38;6;6
73;501;30;5;5
74;681;30;4;4
75;859;43;4;4
76;990;47;9;9
77;1222;54;8;8
78;979;46;3;3
79;1175;46;3;3
80;1581;49;1;1
81;2096;45;7;7
82;2591;63;11;11
83;2379;86;11;11
84;1940;80;6;6
85;1438;70;8;8
86;884;54;8;8
87;688;45;5;5
88;384;34;8;8
89;227;19;2;2
90;145;19;1;1
91;108;14;3;3
92;69;6;0;0
93;131;8;0;0
94;107;6;1;1
95;146;6;0;0
96;179;4;0;0
97;223;21;0;0
98;464;13;0;0
99;515;19;2;2
100;622;30;6;6
101;739;29;3;3
102;1145;48;5;5
103;3800;55;11;11
104;8695;64;6;6
