Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;3;0;0
4;0;0;1;1
5;0;1;0;0
6;0;2;0;0
7;0;4;0;0
8;0;2;0;0
9;2;7;0;0
10;3;15;1;1
11;85;32;1;1
12;449;104;10;10
13;758;189;20;20
14;649;136;13;13
15;506;118;8;8
16;418;87;6;6
17;552;66;6;6
18;130;33;3;3
19;96;18;1;1
20;163;11;0;0
21;155;3;0;0
22;117;16;0;0
23;116;9;1;1
24;48;6;2;2
25;47;7;0;0
26;26;7;0;0
27;46;4;0;0
28;136;7;0;0
29;200;6;0;0
30;346;7;0;0
31;358;17;4;4
32;280;7;2;2
33;363;4;0;0
34;473;15;1;1
35;554;18;3;3
36;668;17;1;1
37;880;21;6;6
38;865;16;0;0
39;819;23;2;2
40;936;24;2;2
41;1363;14;0;0
42;2201;27;4;4
43;3710;20;2;2
44;3868;40;2;2
45;2919;35;2;2
46;1973;47;5;5
47;1337;39;2;2
48;1078;34;4;4
49;1170;20;1;1
50;1322;16;2;2
51;2057;33;3;3
52;1707;37;3;3
53;2200;43;4;4
54;2174;72;7;7
55;2234;63;7;7
56;2025;66;13;13
57;1825;68;8;8
58;1550;61;3;3
59;1260;50;6;6
60;1069;46;4;4
61;913;42;11;11
62;785;26;1;1
63;652;21;3;3
64;839;18;0;0
65;1150;18;3;3
66;1139;28;5;5
67;1273;28;5;5
68;1543;30;8;8
69;1600;20;3;3
70;1796;28;3;3
71;1454;19;3;3
72;980;11;2;2
73;751;4;0;0
74;580;7;2;2
75;482;8;0;0
76;359;7;3;3
77;346;5;0;0
78;375;4;0;0
79;2143;8;0;0
80;4057;20;3;3
81;4633;32;4;4
82;3648;33;4;4
83;2393;25;3;3
84;1675;18;2;2
85;1553;22;1;1
86;1287;14;2;2
87;920;16;1;1
88;683;11;1;1
89;614;8;1;1
90;451;9;1;1
91;450;4;0;0
92;409;4;0;0
93;386;3;0;0
94;348;5;2;2
95;299;7;0;0
96;349;4;0;0
97;489;7;0;0
98;720;21;2;2
99;1268;17;1;1
100;1747;12;0;0
101;2188;12;0;0
102;2868;15;2;2
103;3518;8;0;0
104;7403;9;0;0
