Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;1;0;0
4;0;2;0;0
5;0;3;1;1
6;0;0;0;0
7;0;2;0;0
8;0;0;0;0
9;0;3;1;1
10;0;9;1;1
11;80;40;4;4
12;419;192;35;35
13;758;433;37;37
14;572;244;31;31
15;264;139;12;12
16;172;69;5;5
17;122;37;5;5
18;63;15;2;2
19;31;8;0;0
20;21;2;0;0
21;15;6;0;0
22;7;1;0;0
23;9;1;1;1
24;2;0;0;0
25;25;4;0;0
26;58;4;2;2
27;67;6;1;1
28;99;7;0;0
29;108;7;3;3
30;87;5;0;0
31;79;7;1;1
32;139;10;0;0
33;264;16;1;1
34;462;25;0;0
35;599;38;1;1
36;899;50;8;8
37;850;76;7;7
38;729;46;4;4
39;1149;42;1;1
40;1812;65;9;9
41;2962;120;7;7
42;3889;161;10;10
43;6348;253;22;22
44;6425;403;39;39
45;5208;427;43;43
46;4676;347;44;44
47;2667;292;31;31
48;1373;171;27;27
49;746;127;12;12
50;531;71;13;13
51;820;71;8;8
52;606;74;14;14
53;895;84;8;8
54;2107;154;26;26
55;3772;236;29;29
56;4779;300;45;45
57;4380;377;44;44
58;2661;289;31;31
59;1615;192;14;14
60;1089;135;19;19
61;929;115;14;14
62;821;124;30;30
63;967;115;26;26
64;978;126;24;24
65;1087;129;25;25
66;1195;160;33;33
67;2389;177;35;35
68;2234;226;46;46
69;2069;200;45;45
70;1878;210;34;34
71;1494;154;34;34
72;1299;116;19;19
73;1141;101;16;16
74;1124;101;17;17
75;1058;55;9;9
76;1001;77;12;12
77;1031;48;2;2
78;1121;52;7;7
79;1468;52;5;5
80;1890;72;8;8
81;1920;85;5;5
82;2136;77;6;6
83;2324;92;6;6
84;2070;111;7;7
85;1684;87;1;1
86;1094;55;6;6
87;829;64;4;4
88;596;45;7;7
89;338;26;2;2
90;316;28;2;2
91;172;17;0;0
92;132;13;2;2
93;83;7;0;0
94;157;9;3;3
95;142;8;2;2
96;113;15;1;1
97;124;13;1;1
98;165;4;2;2
99;220;8;0;0
100;295;11;0;0
101;582;13;2;2
102;907;23;4;4
103;2653;44;1;1
104;6073;66;2;2
