Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;1;0;0
8;0;0;0;0
9;0;3;1;1
10;19;14;0;0
11;122;55;5;5
12;217;191;10;10
13;343;283;17;17
14;227;130;7;7
15;214;140;6;6
16;183;110;1;1
17;152;77;2;2
18;110;39;1;1
19;95;51;0;0
20;24;6;0;0
21;28;4;0;0
22;20;2;1;1
23;46;6;0;0
24;32;2;0;0
25;30;5;0;0
26;32;6;1;1
27;30;5;0;0
28;24;4;0;0
29;31;6;0;0
30;58;4;1;1
31;45;6;0;0
32;119;12;1;1
33;275;15;0;0
34;368;26;1;1
35;428;21;2;2
36;550;29;2;2
37;752;38;2;2
38;855;53;5;5
39;840;49;7;7
40;663;49;4;4
41;702;54;5;5
42;582;56;4;4
43;626;38;2;2
44;648;54;3;3
45;532;56;6;6
46;445;34;3;3
47;338;25;3;3
48;260;28;3;3
49;227;29;3;3
50;282;20;3;3
51;425;16;0;0
52;422;41;2;2
53;544;32;1;1
54;909;45;3;3
55;1687;72;3;3
56;1765;136;16;16
57;1388;95;7;7
58;1006;72;10;10
59;468;39;3;3
60;278;20;0;0
61;280;14;3;3
62;260;15;1;1
63;303;27;4;4
64;309;21;3;3
65;466;30;6;6
66;464;56;6;6
67;670;33;5;5
68;691;63;8;8
69;653;35;5;5
70;476;22;5;5
71;359;18;5;5
72;310;18;2;2
73;223;14;7;7
74;239;3;1;1
75;183;12;0;0
76;158;7;1;1
77;102;5;1;1
78;83;3;0;0
79;112;1;0;0
80;224;8;1;1
81;512;13;1;1
82;794;19;3;3
83;869;24;2;2
84;695;16;1;1
85;527;21;1;1
86;376;11;0;0
87;309;16;2;2
88;183;7;1;1
89;141;16;2;2
90;72;7;1;1
91;52;2;0;0
92;54;2;0;0
93;48;0;0;0
94;56;7;1;1
95;98;6;0;0
96;128;5;0;0
97;84;5;2;2
98;98;3;2;2
99;110;4;0;0
100;164;3;0;0
101;268;15;2;2
102;454;10;1;1
103;905;11;3;3
104;3023;16;1;1
