Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;1;1
3;0;2;0;0
4;0;0;0;0
5;0;0;0;0
6;0;2;0;0
7;0;0;0;0
8;0;1;0;0
9;0;1;0;0
10;7;12;0;0
11;81;30;3;3
12;308;128;11;11
13;683;318;30;30
14;469;205;15;15
15;442;114;3;3
16;186;42;1;1
17;80;24;1;1
18;30;9;1;1
19;44;6;0;0
20;26;5;0;0
21;15;0;1;1
22;12;1;0;0
23;20;0;0;0
24;38;3;0;0
25;36;1;1;1
26;48;2;2;2
27;41;0;0;0
28;148;2;0;0
29;409;5;0;0
30;280;9;1;1
31;296;9;0;0
32;395;14;0;0
33;570;26;1;1
34;788;33;6;6
35;1383;69;5;5
36;1383;90;11;11
37;1307;121;11;11
38;1221;79;11;11
39;983;62;9;9
40;1014;66;11;11
41;1438;70;4;4
42;2292;105;13;13
43;3382;157;18;18
44;3917;212;23;23
45;4273;252;26;26
46;3694;271;30;30
47;2555;186;23;23
48;1677;161;23;23
49;1177;98;13;13
50;1065;83;6;6
51;1137;58;11;11
52;784;67;5;5
53;943;65;12;12
54;1168;88;13;13
55;1406;99;16;16
56;1715;113;24;24
57;1991;52;14;14
58;1739;92;21;21
59;1097;91;16;16
60;741;57;10;10
61;550;43;10;10
62;582;29;6;6
63;650;47;6;6
64;713;18;4;4
65;1028;59;12;12
66;1288;45;16;16
67;2031;107;23;23
68;2580;148;36;36
69;2681;138;44;44
70;2114;7;8;8
71;1500;6;1;1
72;897;3;1;1
73;703;2;0;0
74;760;1;1;1
75;667;6;3;3
76;406;0;0;0
77;213;1;0;0
78;431;1;1;1
79;1076;3;0;0
80;1800;3;0;0
81;2794;9;2;2
82;3093;5;1;1
83;2407;15;0;0
84;1878;16;2;2
85;1382;13;2;2
86;1139;9;1;1
87;1034;7;1;1
88;741;12;2;2
89;508;15;0;0
90;377;11;1;1
91;263;8;1;1
92;243;6;0;0
93;235;2;0;0
94;286;1;1;1
95;390;2;0;0
96;453;2;0;0
97;806;0;0;0
98;1423;0;0;0
99;2251;0;0;0
100;3555;0;0;0
101;4906;0;0;0
102;5336;1;0;0
103;5866;0;0;0
104;10398;0;0;0
