Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;1;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;2;0;0
8;0;0;0;0
9;0;0;0;0
10;0;1;0;0
11;8;3;0;0
12;67;46;8;8
13;130;76;13;13
14;101;47;7;7
15;43;22;3;3
16;36;17;0;0
17;17;9;1;1
18;4;2;0;0
19;0;0;0;0
20;3;0;0;0
21;2;1;0;0
22;1;1;0;0
23;3;0;0;0
24;0;0;0;0
25;0;0;0;0
26;11;2;1;1
27;0;0;0;0
28;2;0;0;0
29;4;0;0;0
30;12;1;0;0
31;27;3;0;0
32;28;1;1;1
33;46;3;0;0
34;67;3;0;0
35;100;4;1;1
36;108;5;0;0
37;176;9;1;1
38;180;4;1;1
39;230;17;0;0
40;269;18;1;1
41;361;35;0;0
42;534;34;2;2
43;1075;37;0;0
44;1501;78;3;3
45;1193;80;3;3
46;1470;64;3;3
47;1181;72;4;4
48;776;69;5;5
49;610;40;2;2
50;466;37;2;2
51;399;22;2;2
52;276;24;1;1
53;510;26;5;5
54;991;36;5;5
55;2625;105;9;9
56;3190;166;7;7
57;2757;187;9;9
58;1582;150;6;6
59;694;69;8;8
60;376;50;6;6
61;231;40;2;2
62;122;22;1;1
63;135;14;3;3
64;210;18;0;0
65;296;24;0;0
66;431;44;4;4
67;836;56;3;3
68;691;73;9;9
69;643;62;5;5
70;587;52;5;5
71;518;40;3;3
72;674;52;4;4
73;705;45;3;3
74;757;41;1;1
75;845;55;6;6
76;689;42;4;4
77;503;25;5;5
78;452;26;3;3
79;457;15;2;2
80;714;12;1;1
81;1316;19;0;0
82;1582;49;4;4
83;1814;40;5;5
84;1659;41;5;5
85;1368;42;3;3
86;1005;42;1;1
87;757;36;4;4
88;470;32;2;2
89;281;20;2;2
90;198;6;1;1
91;201;22;1;1
92;150;9;2;2
93;137;15;0;0
94;168;12;2;2
95;128;11;0;0
96;212;21;1;1
97;196;11;0;0
98;232;9;1;1
99;319;13;2;2
100;391;23;1;1
101;663;34;3;3
102;713;29;2;2
103;1707;39;2;2
104;2758;26;3;3
