Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;3;0;0
3;0;1;0;0
4;0;0;0;0
5;0;3;0;0
6;0;3;0;0
7;0;3;0;0
8;0;5;0;0
9;6;8;0;0
10;27;36;8;8
11;246;131;14;14
12;586;338;44;44
13;919;533;62;62
14;514;215;19;19
15;259;103;8;8
16;155;41;6;6
17;68;26;1;1
18;47;19;2;2
19;37;16;3;3
20;16;3;0;0
21;15;1;0;0
22;19;1;0;0
23;28;6;0;0
24;11;1;0;0
25;5;1;0;0
26;113;4;0;0
27;16;6;0;0
28;34;8;0;0
29;75;11;0;0
30;132;7;0;0
31;280;15;1;1
32;559;25;3;3
33;1115;55;2;2
34;1571;65;8;8
35;1958;129;13;13
36;1984;158;14;14
37;1777;129;16;16
38;1619;103;11;11
39;1452;87;6;6
40;1091;91;4;4
41;1401;107;6;6
42;1538;100;12;12
43;2191;146;9;9
44;2706;168;19;19
45;2913;247;27;27
46;2958;231;13;13
47;2098;186;17;17
48;1553;154;18;18
49;1084;94;9;9
50;799;71;4;4
51;1198;69;3;3
52;1079;84;9;9
53;2121;115;6;6
54;4813;222;18;18
55;8900;451;39;39
56;10234;569;47;47
57;8677;599;46;46
58;6119;457;45;45
59;3199;290;27;27
60;1896;177;18;18
61;1091;136;16;16
62;910;91;13;13
63;855;75;5;5
64;722;68;13;13
65;839;51;5;5
66;872;72;7;7
67;1322;70;11;11
68;1314;87;14;14
69;1198;92;12;12
70;1181;90;8;8
71;1294;72;8;8
72;1144;59;10;10
73;1144;64;10;10
74;1418;77;7;7
75;1643;69;6;6
76;1516;62;5;5
77;1560;59;4;4
78;1702;51;6;6
79;3219;87;6;6
80;5481;133;8;8
81;7276;246;26;26
82;8371;320;31;31
83;6913;323;38;38
84;5448;265;32;32
85;3820;202;15;15
86;2170;156;14;14
87;1611;114;17;17
88;1069;71;4;4
89;778;43;3;3
90;667;41;2;2
91;554;43;4;4
92;412;24;2;2
93;361;30;3;3
94;351;29;2;2
95;407;18;4;4
96;463;22;1;1
97;503;26;3;3
98;600;38;2;2
99;940;46;3;3
100;1207;46;5;5
101;1886;51;3;3
102;2877;72;2;2
103;6116;104;5;5
104;10251;119;5;5
