Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;1;0;0
3;0;0;0;0
4;0;0;0;0
5;0;2;0;0
6;0;0;0;0
7;0;5;0;0
8;0;3;0;0
9;0;2;1;1
10;2;7;0;0
11;89;27;5;5
12;278;129;23;23
13;592;229;44;44
14;318;154;19;19
15;165;62;11;11
16;70;26;4;4
17;42;10;3;3
18;29;12;2;2
19;42;8;1;1
20;38;10;0;0
21;27;2;0;0
22;14;3;0;0
23;18;1;0;0
24;9;0;0;0
25;23;2;0;0
26;28;4;0;0
27;29;4;1;1
28;64;5;1;1
29;99;9;1;1
30;370;11;0;0
31;422;28;3;3
32;515;50;9;9
33;809;64;9;9
34;1254;115;12;12
35;1958;163;21;21
36;2536;216;31;31
37;2933;227;26;26
38;3563;190;27;27
39;3178;221;29;29
40;2677;224;31;31
41;2923;209;27;27
42;3603;287;38;38
43;5147;367;38;38
44;5717;404;49;49
45;6045;416;50;50
46;4725;395;53;53
47;2503;258;36;36
48;1529;161;24;24
49;1221;96;18;18
50;1107;91;14;14
51;1202;101;15;15
52;1380;105;22;22
53;2972;158;23;23
54;8100;365;38;38
55;13006;663;78;78
56;10712;796;96;96
57;6448;648;59;59
58;2973;323;45;45
59;1470;158;19;19
60;887;119;17;17
61;649;76;9;9
62;545;48;8;8
63;487;67;13;13
64;403;39;4;4
65;475;40;6;6
66;511;48;3;3
67;548;48;12;12
68;522;47;2;2
69;580;45;8;8
70;535;46;12;12
71;518;40;12;12
72;486;37;7;7
73;623;43;10;10
74;552;40;4;4
75;393;24;2;2
76;354;24;2;2
77;436;15;5;5
78;471;23;1;1
79;816;15;3;3
80;1704;29;4;4
81;2868;61;5;5
82;3708;138;14;14
83;3692;142;26;26
84;3216;168;15;15
85;2793;142;15;15
86;2255;137;10;10
87;1546;92;20;20
88;1120;69;8;8
89;728;63;11;11
90;690;43;5;5
91;616;48;4;4
92;382;29;5;5
93;336;15;3;3
94;449;43;4;4
95;422;32;5;5
96;378;23;5;5
97;430;28;0;0
98;707;34;9;9
99;1368;58;5;5
100;1969;73;12;12
101;2742;94;21;21
102;3771;116;19;19
103;7770;149;25;25
104;10334;201;31;31
