Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;2;1;1
9;0;0;0;0
10;1;2;0;0
11;25;7;0;0
12;214;49;2;2
13;407;141;12;12
14;512;123;7;7
15;296;101;3;3
16;139;54;1;1
17;76;45;2;2
18;52;10;0;0
19;26;34;2;2
20;11;5;0;0
21;15;1;0;0
22;3;0;0;0
23;0;1;0;0
24;0;0;0;0
25;1;0;0;0
26;2;0;0;0
27;0;0;0;0
28;4;1;0;0
29;1;1;0;0
30;2;1;1;1
31;22;3;0;0
32;21;2;0;0
33;87;4;0;0
34;107;11;3;3
35;180;22;2;2
36;202;25;2;2
37;165;35;0;0
38;243;28;4;4
39;374;32;2;2
40;550;48;6;6
41;816;55;6;6
42;595;85;5;5
43;619;65;12;12
44;467;70;9;9
45;334;63;9;9
46;275;44;6;6
47;233;30;2;2
48;135;23;2;2
49;162;15;0;0
50;235;25;0;0
51;219;19;4;4
52;248;19;0;0
53;366;21;1;1
54;689;45;4;4
55;1142;91;5;5
56;1555;118;9;9
57;1196;126;7;7
58;625;95;11;11
59;327;58;8;8
60;130;20;2;2
61;83;21;2;2
62;101;16;3;3
63;58;10;0;0
64;85;15;1;1
65;41;10;0;0
66;77;12;1;1
67;94;8;1;1
68;118;12;3;3
69;128;19;7;7
70;117;15;4;4
71;109;11;1;1
72;99;10;1;1
73;72;7;3;3
74;70;11;2;2
75;79;3;0;0
76;55;4;1;1
77;72;2;0;0
78;89;4;0;0
79;223;8;1;1
80;819;13;0;0
81;1271;41;4;4
82;954;67;3;3
83;659;37;5;5
84;444;31;6;6
85;307;23;4;4
86;350;15;3;3
87;311;24;4;4
88;218;14;2;2
89;104;8;1;1
90;94;7;2;2
91;77;5;1;1
92;37;9;1;1
93;29;2;1;1
94;18;3;1;1
95;27;3;1;1
96;90;13;0;0
97;98;8;2;2
98;205;18;3;3
99;514;17;0;0
100;904;36;5;5
101;1296;55;3;3
102;1417;38;2;2
103;1113;38;3;3
104;1703;27;5;5
