Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;1;0;0
8;2;1;0;0
9;2;1;0;0
10;116;14;1;1
11;231;61;13;13
12;446;170;18;18
13;1021;282;21;21
14;1007;227;12;12
15;559;137;6;6
16;296;83;4;4
17;187;28;1;1
18;57;21;1;1
19;33;6;0;0
20;19;3;0;0
21;15;3;0;0
22;10;2;0;0
23;11;2;0;0
24;7;2;0;0
25;4;0;0;0
26;4;0;0;0
27;2;1;0;0
28;24;1;0;0
29;20;1;0;0
30;58;1;0;0
31;24;3;0;0
32;69;5;0;0
33;335;6;0;0
34;440;35;3;3
35;669;53;5;5
36;537;53;8;8
37;635;67;4;4
38;827;53;11;11
39;624;50;5;5
40;553;50;4;4
41;682;53;10;10
42;966;85;13;13
43;1219;105;11;11
44;1233;124;16;16
45;1321;114;12;12
46;977;117;10;10
47;732;62;7;7
48;568;63;9;9
49;356;44;6;6
50;306;33;3;3
51;383;32;0;0
52;366;31;3;3
53;672;46;5;5
54;1092;79;12;12
55;1830;127;12;12
56;2117;155;26;26
57;1914;159;27;27
58;978;123;22;22
59;307;60;6;6
60;158;27;3;3
61;106;22;3;3
62;130;22;1;1
63;114;15;4;4
64;140;21;1;1
65;258;22;4;4
66;319;27;4;4
67;355;34;7;7
68;397;47;6;6
69;484;43;4;4
70;436;42;9;9
71;306;32;3;3
72;234;28;4;4
73;237;27;2;2
74;326;27;2;2
75;370;19;4;4
76;224;11;2;2
77;249;14;1;1
78;180;9;2;2
79;340;16;2;2
80;529;11;1;1
81;991;29;1;1
82;1277;57;8;8
83;1218;59;3;3
84;904;53;3;3
85;690;37;6;6
86;615;18;1;1
87;415;22;2;2
88;240;15;2;2
89;127;14;3;3
90;96;7;0;0
91;68;3;1;1
92;66;2;1;1
93;42;1;0;0
94;45;5;1;1
95;43;2;1;1
96;67;6;0;0
97;131;13;4;4
98;210;17;2;2
99;303;20;2;2
100;332;6;1;1
101;581;23;6;6
102;777;11;2;2
103;3533;31;4;4
104;4477;54;3;3
