Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;2;0;0
9;2;1;0;0
10;6;11;0;0
11;66;36;3;3
12;423;175;6;6
13;689;320;23;23
14;621;243;9;9
15;464;122;9;9
16;301;111;5;5
17;208;65;1;1
18;94;31;6;6
19;64;21;0;0
20;32;6;0;0
21;64;9;0;0
22;79;6;1;1
23;60;5;0;0
24;28;3;0;0
25;16;8;0;0
26;11;3;0;0
27;8;2;0;0
28;5;3;0;0
29;6;2;0;0
30;23;4;1;1
31;48;11;0;0
32;194;9;0;0
33;233;15;0;0
34;277;25;0;0
35;674;62;2;2
36;576;45;4;4
37;688;57;0;0
38;663;68;4;4
39;713;95;5;5
40;571;70;5;5
41;955;80;5;5
42;1057;94;7;7
43;1766;127;5;5
44;1711;130;8;8
45;1269;108;5;5
46;939;99;12;12
47;582;77;5;5
48;283;55;4;4
49;193;34;1;1
50;108;16;0;0
51;168;12;0;0
52;130;17;0;0
53;326;23;1;1
54;954;55;4;4
55;2305;108;11;11
56;2688;227;18;18
57;2378;198;9;9
58;1162;184;5;5
59;660;83;4;4
60;286;53;2;2
61;217;37;4;4
62;159;13;0;0
63;156;18;2;2
64;124;17;0;0
65;139;14;3;3
66;185;19;4;4
67;336;32;5;5
68;339;48;7;7
69;280;37;4;4
70;250;31;2;2
71;141;18;2;2
72;174;19;0;0
73;137;15;0;0
74;90;7;0;0
75;76;7;1;1
76;54;2;0;0
77;59;4;0;0
78;80;1;0;0
79;514;7;0;0
80;1299;10;0;0
81;952;12;3;3
82;612;24;1;1
83;503;20;0;0
84;489;12;3;3
85;361;12;0;0
86;484;18;0;0
87;414;15;0;0
88;251;18;0;0
89;135;9;1;1
90;100;2;0;0
91;47;4;0;0
92;32;6;0;0
93;47;5;2;2
94;84;7;1;1
95;103;1;0;0
96;70;4;0;0
97;81;10;0;0
98;92;7;1;1
99;318;16;1;1
100;489;21;2;2
101;628;22;0;0
102;665;23;2;2
103;1271;19;2;2
104;3839;24;0;0
