Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;1;1;0;0
10;1;2;0;0
11;48;33;2;2
12;253;166;8;8
13;852;283;22;22
14;655;160;14;14
15;291;79;6;6
16;235;57;3;3
17;89;26;3;3
18;65;17;1;1
19;37;15;1;1
20;20;9;0;0
21;20;5;0;0
22;20;3;1;1
23;15;0;0;0
24;12;0;0;0
25;7;0;0;0
26;23;0;0;0
27;18;2;0;0
28;9;1;0;0
29;8;1;0;0
30;5;2;0;0
31;24;0;0;0
32;29;2;1;1
33;83;1;2;2
34;157;8;0;0
35;122;5;0;0
36;226;3;0;0
37;299;6;0;0
38;246;10;0;0
39;226;6;2;2
40;189;12;3;3
41;263;22;1;1
42;301;27;0;0
43;414;24;4;4
44;353;19;1;1
45;368;22;5;5
46;326;22;4;4
47;155;12;2;2
48;141;11;1;1
49;69;13;1;1
50;87;3;0;0
51;113;4;4;4
52;139;8;1;1
53;378;15;5;5
54;816;42;4;4
55;1701;85;11;11
56;1536;117;6;6
57;1227;98;9;9
58;599;64;12;12
59;311;20;4;4
60;146;23;4;4
61;104;15;0;0
62;56;10;3;3
63;78;9;1;1
64;131;10;2;2
65;187;20;2;2
66;282;17;2;2
67;258;24;5;5
68;292;24;1;1
69;229;25;4;4
70;184;23;1;1
71;128;15;2;2
72;108;15;2;2
73;101;10;1;1
74;80;8;1;1
75;81;10;0;0
76;53;4;0;0
77;34;5;0;0
78;16;3;0;0
79;117;3;1;1
80;385;3;1;1
81;426;8;3;3
82;475;17;3;3
83;403;18;2;2
84;298;15;1;1
85;277;9;1;1
86;171;6;0;0
87;104;4;1;1
88;49;1;0;0
89;38;1;0;0
90;37;2;0;0
91;27;2;0;0
92;40;4;1;1
93;60;1;0;0
94;80;4;0;0
95;91;2;1;1
96;73;5;1;1
97;70;6;1;1
98;82;2;0;0
99;89;5;0;0
100;129;3;1;1
101;173;7;1;1
102;243;4;2;2
103;1034;6;0;0
104;2245;10;1;1
