Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;3;0;0
3;0;1;0;0
4;0;3;0;0
5;1;2;0;0
6;0;0;0;0
7;0;3;1;1
8;0;4;0;0
9;6;8;1;1
10;10;11;1;1
11;76;55;15;15
12;296;126;22;22
13;501;199;37;37
14;270;98;16;16
15;177;80;2;2
16;88;24;7;7
17;69;14;0;0
18;35;10;2;2
19;25;13;4;4
20;13;4;1;1
21;21;5;0;0
22;19;7;0;0
23;12;5;1;1
24;5;3;0;0
25;3;1;0;0
26;0;5;0;0
27;1;3;1;1
28;5;5;1;1
29;17;4;1;1
30;40;6;0;0
31;30;6;0;0
32;63;8;0;0
33;142;13;1;1
34;190;21;3;3
35;346;15;2;2
36;321;30;9;9
37;363;30;6;6
38;411;33;12;12
39;448;44;13;13
40;530;54;7;7
41;526;45;9;9
42;485;49;14;14
43;506;52;9;9
44;573;36;9;9
45;689;77;8;8
46;549;61;10;10
47;578;62;5;5
48;634;63;8;8
49;897;77;8;8
50;1121;114;12;12
51;1213;91;11;11
52;817;73;10;10
53;883;51;12;12
54;680;56;6;6
55;431;29;4;4
56;394;29;6;6
57;332;30;8;8
58;379;22;1;1
59;418;26;8;8
60;429;41;13;13
61;501;48;13;13
62;530;70;9;9
63;732;61;17;17
64;706;65;20;20
65;616;52;9;9
66;576;54;13;13
67;773;53;10;10
68;770;53;14;14
69;698;55;12;12
70;599;47;12;12
71;486;33;8;8
72;511;31;5;5
73;479;41;10;10
74;407;20;4;4
75;456;22;4;4
76;625;33;2;2
77;865;45;9;9
78;961;64;10;10
79;1516;64;9;9
80;1928;87;10;10
81;2495;134;21;21
82;3069;194;27;27
83;2947;148;23;23
84;2170;143;32;32
85;1377;94;14;14
86;891;90;14;14
87;679;49;13;13
88;429;42;14;14
89;315;31;4;4
90;251;22;3;3
91;249;10;6;6
92;249;11;3;3
93;181;9;2;2
94;150;16;4;4
95;266;19;5;5
96;261;23;2;2
97;312;29;3;3
98;598;28;1;1
99;746;45;4;4
100;943;51;7;7
101;1052;51;8;8
102;1487;55;5;5
103;6218;74;9;9
104;10206;83;13;13
