Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;1;0;0
6;0;0;0;0
7;0;0;0;0
8;0;2;1;1
9;0;1;1;1
10;1;5;0;0
11;14;18;2;2
12;59;36;6;6
13;152;83;9;9
14;157;49;8;8
15;112;13;5;5
16;39;18;0;0
17;7;5;0;0
18;8;5;1;1
19;4;2;0;0
20;17;3;0;0
21;31;2;0;0
22;15;4;0;0
23;4;2;0;0
24;4;1;0;0
25;5;0;0;0
26;3;0;0;0
27;8;2;0;0
28;20;0;0;0
29;79;4;1;1
30;140;18;0;0
31;240;34;1;1
32;233;19;2;2
33;136;15;1;1
34;127;11;3;3
35;88;16;1;1
36;187;16;1;1
37;280;43;4;4
38;392;47;4;4
39;251;45;6;6
40;237;18;0;0
41;392;38;3;3
42;488;37;1;1
43;810;66;5;5
44;674;56;2;2
45;551;58;5;5
46;402;56;5;5
47;253;37;3;3
48;303;27;0;0
49;205;23;2;2
50;222;26;2;2
51;146;14;1;1
52;149;15;1;1
53;224;19;1;1
54;471;23;1;1
55;946;36;2;2
56;1087;64;6;6
57;1045;91;6;6
58;736;58;0;0
59;444;43;7;7
60;215;26;3;3
61;109;23;1;1
62;65;12;2;2
63;38;5;1;1
64;23;5;0;0
65;32;8;2;2
66;35;3;0;0
67;28;3;2;2
68;34;7;1;1
69;104;1;1;1
70;99;4;0;0
71;63;6;2;2
72;30;4;1;1
73;36;5;1;1
74;42;3;0;0
75;57;4;0;0
76;51;4;1;1
77;77;2;0;0
78;67;2;1;1
79;189;6;0;0
80;428;7;1;1
81;489;11;0;0
82;524;18;0;0
83;367;14;0;0
84;332;7;1;1
85;206;10;0;0
86;160;7;1;1
87;177;6;2;2
88;140;4;0;0
89;76;7;1;1
90;82;2;1;1
91;75;3;0;0
92;55;4;0;0
93;49;1;0;0
94;28;2;0;0
95;36;2;1;1
96;48;2;0;0
97;67;4;0;0
98;124;10;2;2
99;207;12;2;2
100;248;7;1;1
101;386;20;0;0
102;484;8;4;4
103;627;16;1;1
104;877;8;0;0
