Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;1;0;0;0
10;6;12;1;1
11;140;111;11;11
12;573;445;34;34
13;1046;754;44;44
14;895;498;36;36
15;622;342;14;14
16;410;206;9;9
17;257;130;10;10
18;198;112;1;1
19;163;88;3;3
20;160;44;0;0
21;77;18;4;4
22;87;12;2;2
23;50;15;3;3
24;34;3;0;0
25;30;8;0;0
26;36;17;1;1
27;36;15;0;0
28;30;8;0;0
29;27;16;0;0
30;74;8;0;0
31;123;19;1;1
32;209;15;2;2
33;467;25;5;5
34;892;55;5;5
35;1258;98;10;10
36;1629;127;15;15
37;1927;148;12;12
38;2300;170;21;21
39;2002;199;14;14
40;1878;196;15;15
41;2083;192;18;18
42;1907;198;19;19
43;2839;266;12;12
44;2798;272;22;22
45;2657;247;20;20
46;1930;214;18;18
47;1246;142;10;10
48;1035;125;17;17
49;1140;119;14;14
50;1004;122;13;13
51;1043;122;14;14
52;1040;139;9;9
53;1814;138;14;14
54;3211;186;22;22
55;5530;450;35;35
56;5735;465;54;54
57;4463;359;45;45
58;2357;234;29;29
59;1142;87;14;14
60;553;60;4;4
61;423;43;5;5
62;375;48;10;10
63;332;45;3;3
64;391;51;2;2
65;443;66;5;5
66;542;75;9;9
67;831;95;12;12
68;839;103;16;16
69;983;104;15;15
70;1109;123;14;14
71;971;114;22;22
72;830;86;15;15
73;690;66;8;8
74;631;70;12;12
75;473;48;12;12
76;426;46;5;5
77;275;22;3;3
78;273;21;3;3
79;496;21;3;3
80;716;25;1;1
81;1221;40;9;9
82;1792;65;4;4
83;2532;107;7;7
84;2252;115;11;11
85;1897;117;7;7
86;1596;90;6;6
87;1461;74;8;8
88;927;55;6;6
89;561;32;1;1
90;414;20;0;0
91;315;19;0;0
92;156;11;1;1
93;144;26;0;0
94;117;26;2;2
95;167;28;1;1
96;185;31;3;3
97;222;29;5;5
98;332;40;3;3
99;351;33;0;0
100;477;30;1;1
101;634;20;3;3
102;640;37;3;3
103;1894;47;6;6
104;5774;57;4;4
