Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;6;0;0
3;0;4;0;0
4;0;1;0;0
5;0;5;0;0
6;0;3;0;0
7;0;2;1;1
8;0;4;1;1
9;14;11;0;0
10;17;10;2;2
11;285;120;22;22
12;918;551;83;83
13;1704;1028;135;135
14;1203;556;62;62
15;701;310;21;21
16;395;187;10;10
17;293;77;7;7
18;205;69;0;0
19;152;38;2;2
20;94;15;1;1
21;90;11;2;2
22;47;0;0;0
23;79;6;0;0
24;62;3;1;1
25;56;5;1;1
26;50;7;1;1
27;67;8;0;0
28;96;16;1;1
29;231;14;0;0
30;421;32;2;2
31;825;50;4;4
32;1507;106;6;6
33;1821;150;10;10
34;2325;159;12;12
35;2703;151;15;15
36;2120;178;19;19
37;2003;185;8;8
38;1592;131;12;12
39;1496;127;12;12
40;1408;139;13;13
41;1875;188;19;19
42;2985;248;31;31
43;4798;392;32;32
44;6236;525;44;44
45;7156;568;55;55
46;6433;627;66;66
47;5511;536;57;57
48;4369;416;42;42
49;4237;346;35;35
50;4796;419;41;41
51;7536;534;37;37
52;8051;675;44;44
53;10994;831;58;58
54;17844;1115;104;104
55;24925;1552;126;126
56;22070;1772;121;121
57;17467;1405;105;105
58;9483;834;76;76
59;4066;422;34;34
60;1956;218;22;22
61;1065;145;11;11
62;744;88;10;10
63;567;71;13;13
64;388;60;9;9
65;574;47;7;7
66;504;55;6;6
67;609;73;12;12
68;539;68;4;4
69;634;43;7;7
70;521;50;6;6
71;409;24;4;4
72;437;39;3;3
73;406;26;3;3
74;543;52;5;5
75;605;44;5;5
76;659;43;0;0
77;916;47;4;4
78;2515;51;5;5
79;6732;172;10;10
80;8726;257;29;29
81;10378;295;23;23
82;9940;398;33;33
83;7664;297;30;30
84;4849;220;28;28
85;3391;139;16;16
86;2373;107;15;15
87;1748;70;10;10
88;1195;65;9;9
89;723;43;3;3
90;651;46;6;6
91;481;40;6;6
92;447;24;2;2
93;320;25;2;2
94;390;26;3;3
95;540;29;1;1
96;678;40;4;4
97;824;46;2;2
98;1390;69;4;4
99;2283;76;10;10
100;4058;132;12;12
101;5693;163;3;3
102;7109;243;17;17
103;12480;253;19;19
104;18180;381;8;8
