Semana;Casos;Hospitalizaciones;Ingresos UCI;Fallecimientos
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;1;0;0
7;0;1;0;0
8;0;1;1;1
9;1;6;1;1
10;28;15;3;3
11;114;59;15;15
12;430;240;48;48
13;1072;630;87;87
14;904;438;46;46
15;630;269;22;22
16;366;189;21;21
17;306;131;7;7
18;198;66;10;10
19;125;25;5;5
20;79;4;1;1
21;48;6;3;3
22;52;7;3;3
23;39;5;0;0
24;26;4;0;0
25;20;4;1;1
26;80;4;0;0
27;77;8;1;1
28;244;18;1;1
29;1163;77;4;4
30;2005;146;6;6
31;3368;252;12;12
32;2941;242;11;11
33;2666;222;15;15
34;1996;200;8;8
35;1287;190;11;11
36;1582;155;9;9
37;1908;153;9;9
38;1772;167;9;9
39;1698;155;5;5
40;1655;137;11;11
41;2036;150;10;10
42;2372;230;10;10
43;4696;284;29;29
44;5082;367;25;25
45;3903;309;23;23
46;2746;248;26;26
47;1726;178;16;16
48;1373;149;18;18
49;1156;127;13;13
50;976;112;9;9
51;1040;119;14;14
52;933;88;14;14
53;1580;113;12;12
54;2264;146;13;13
55;3408;264;21;21
56;3383;309;28;28
57;2887;241;21;21
58;2430;216;26;26
59;1620;185;21;21
60;1097;122;17;17
61;827;93;13;13
62;764;96;16;16
63;667;86;10;10
64;769;61;9;9
65;790;71;9;9
66;857;88;13;13
67;1555;128;12;12
68;1491;156;25;25
69;1363;159;16;16
70;1807;144;12;12
71;1434;138;20;20
72;1043;110;12;12
73;1058;89;9;9
74;728;68;10;10
75;667;60;7;7
76;471;46;2;2
77;393;24;2;2
78;404;23;1;1
79;979;23;1;1
80;3130;32;0;0
81;4229;83;2;2
82;3867;150;8;8
83;3088;143;5;5
84;2324;126;5;5
85;1636;105;6;6
86;1161;76;6;6
87;962;63;2;2
88;772;70;1;1
89;561;49;4;4
90;437;35;2;2
91;430;24;1;1
92;380;14;3;3
93;275;16;2;2
94;272;17;1;1
95;338;15;3;3
96;327;16;3;3
97;543;25;1;1
98;677;30;4;4
99;1108;32;1;1
100;1803;51;0;0
101;2934;70;8;8
102;3401;80;9;9
103;5414;127;10;10
104;10594;130;6;6
