Año;Semana;Andalucia
2015;40;1.72
2015;41;2.4
2015;42;6.1
2015;43;5.31
2015;44;7.82
2015;45;7.71
2015;46;2.72
2015;47;6.62
2015;48;7.93
2015;49;10.18
2015;50;4.48
2015;51;19.9
2015;52;12.9
2015;53;14.9
2016;1;10.49
2016;2;30.82
2016;3;55.0
2016;4;58.58
2016;5;82.89
2016;6;71.51
2016;9;94.64
2016;10;98.85
2016;11;108.56
2016;12;58.0
2016;13;42.59
2016;14;54.71
2016;15;25.33
2016;16;25.84
2016;17;8.22
2016;18;2.43
2016;19;5.41
2016;20;2.28
2016;40;2.51
2016;41;3.63
2016;42;3.96
2016;43;3.83
2016;44;4.79
2016;45;23.45
2016;46;12.69
2016;47;22.21
2016;48;30.4
2016;49;3.96
2016;50;23.02
2016;51;61.14
2016;52;62.0
2017;1;76.92
2017;2;131.95
2017;3;180.1
2017;4;170.52
2017;5;109.8
2017;6;85.82
2017;7;53.79
2017;8;25.84
2017;9;15.08
2017;10;10.39
2017;11;11.82
2017;12;9.73
2017;13;6.88
2017;14;4.61
2017;15;0.0
2017;16;7.34
2017;17;0.0
2017;18;0.0
2017;19;2.75
2017;20;0.0
2017;40;0.0
2017;41;2.33
2017;42;2.93
2017;43;5.96
2017;44;6.15
2017;45;11.71
2017;46;12.73
2017;47;25.07
2017;48;27.5
2017;49;17.07
2017;50;59.64
2017;51;128.15
2018;1;162.54
2018;2;230.11
2018;3;189.55
2018;4;158.96
2018;5;123.61
2018;6;100.09
2018;7;94.83
2018;8;51.95
2018;9;47.19
2018;10;18.3
2018;11;19.57
2018;12;10.14
2018;14;10.95
2018;15;1.83
2018;16;0.98
2018;17;1.01
2018;18;0.0
2018;19;0.0
2018;20;1.04
2018;40;2.43
2018;41;0.0
2018;42;5.39
2018;43;2.57
2018;44;4.0
2018;45;14.6
2018;46;6.09
2018;47;10.74
2018;48;9.54
2018;49;8.71
2018;50;12.48
2018;51;13.67
2018;52;11.28
2019;1;18.16
2019;2;45.48
2019;3;98.44
