Año;Semana;Baleares
2015;40;4.86
2015;41;2.73
2015;42;8.03
2015;43;2.39
2015;44;0.0
2015;45;6.12
2015;46;6.4
2015;47;12.35
2015;48;16.78
2015;49;11.76
2015;50;8.55
2015;51;6.57
2015;52;5.9
2015;53;7.79
2016;1;2.32
2016;2;14.39
2016;3;27.75
2016;4;39.35
2016;5;57.35
2016;6;92.64
2016;7;93.54
2016;8;109.9
2016;9;74.43
2016;10;130.34
2016;11;95.82
2016;12;51.12
2016;13;49.29
2016;14;36.94
2016;15;36.66
2016;16;20.47
2016;17;2.38
2016;18;6.99
2016;19;0.0
2016;20;10.91
2016;40;5.05
2016;41;5.03
2016;42;2.4
2016;43;2.54
2016;44;14.41
2016;45;18.88
2016;46;6.11
2016;47;18.19
2016;48;14.5
2016;49;27.78
2016;50;44.01
2016;51;44.57
2016;52;63.91
2017;1;112.07
2017;2;72.67
2017;3;101.24
2017;4;65.92
2017;5;44.87
2017;6;30.7
2017;7;24.87
2017;8;24.6
2017;9;4.93
2017;10;6.36
2017;11;9.97
2017;12;4.1
2017;13;6.89
2017;14;2.39
2017;15;0.0
2017;16;2.76
2017;17;15.61
2017;18;0.0
2017;19;2.42
2017;20;2.2
2017;40;4.74
2017;41;13.91
2017;42;11.25
2017;43;4.59
2017;44;8.55
2017;45;14.23
2017;46;19.63
2017;47;15.06
2017;48;9.89
2017;49;26.97
2017;50;19.76
2017;51;52.68
2017;52;81.18
2018;1;95.64
2018;2;194.47
2018;3;205.71
2018;4;230.63
2018;5;166.29
2018;6;103.97
2018;7;112.88
2018;8;76.26
2018;9;72.66
2018;10;48.61
2018;11;27.43
2018;12;28.33
2018;14;11.31
2018;15;9.79
2018;16;7.28
2018;17;6.23
2018;18;0.0
2018;19;7.45
2018;20;2.5
2018;40;4.18
2018;41;10.29
2018;42;19.28
2018;43;12.9
2018;44;14.97
2018;45;19.43
2018;46;7.36
2018;47;23.19
2018;48;2.28
2018;49;4.81
2018;50;21.49
2018;52;33.6
2019;1;40.33
2019;2;84.51
2019;3;132.8
