Año;Semana;Canarias
2015;40;39.01
2015;41;37.53
2015;42;32.58
2015;43;29.42
2015;44;33.87
2015;45;26.46
2015;46;36.86
2015;47;36.25
2015;48;42.19
2015;49;8.51
2015;50;20.6
2015;51;54.48
2015;52;28.71
2015;53;41.42
2016;1;55.01
2016;2;98.41
2016;3;152.01
2016;4;245.72
2016;5;255.51
2016;6;214.9
2016;7;168.22
2016;8;134.77
2016;9;133.97
2016;10;73.51
2016;11;75.18
2016;12;45.42
2016;13;53.47
2016;14;33.42
2016;15;36.4
2016;16;25.14
2016;17;39.66
2016;18;11.53
2016;19;18.34
2016;20;41.96
2016;40;10.96
2016;41;28.51
2016;42;29.5
2016;43;19.7
2016;44;35.44
2016;45;48.99
2016;46;133.64
2016;47;145.52
2016;48;120.72
2016;49;41.28
2016;50;63.48
2016;51;56.6
2016;52;65.61
2017;1;124.06
2017;2;96.15
2017;3;100.52
2017;4;46.51
2017;5;43.4
2017;6;81.69
2017;7;30.58
2017;8;35.39
2017;9;14.27
2017;10;17.05
2017;11;0.0
2017;12;27.45
2017;13;3.43
2017;14;6.86
2017;15;0.0
2017;16;3.43
2017;17;6.56
2017;18;0.0
2017;19;3.46
2017;20;6.9
2017;41;0.0
2017;42;3.28
2017;43;8.01
2017;44;23.46
2017;45;16.58
2017;46;10.62
2017;47;16.15
2017;48;24.51
2017;49;22.41
2017;50;48.51
2017;51;73.96
2017;52;88.39
2018;1;89.63
2018;2;181.19
2018;3;231.08
2018;4;198.4
2018;5;138.92
2018;6;168.1
2018;7;67.68
2018;8;93.87
2018;9;69.05
2018;10;43.31
2018;11;48.77
2018;12;33.13
2018;14;34.73
2018;15;14.21
2018;16;7.53
2018;17;3.76
2018;18;7.75
2018;19;3.69
2018;20;0.0
2018;40;13.53
2018;41;11.87
2018;42;18.33
2018;43;15.65
2018;44;13.44
2018;45;22.22
2018;46;25.6
2018;47;4.86
2018;48;11.2
2018;49;30.48
2018;50;20.34
2018;51;21.92
2018;52;29.14
2019;1;34.84
2019;2;72.45
2019;3;154.16
