Año;Semana;Castilla y León
2015;40;11.71
2015;41;0.0
2015;42;22.52
2015;43;3.5
2015;44;0.0
2015;45;7.27
2015;46;29.83
2015;47;13.17
2015;48;26.14
2015;49;8.21
2015;50;21.86
2015;51;31.07
2015;52;6.19
2015;53;19.12
2016;1;20.08
2016;2;95.69
2016;3;138.8
2016;4;219.61
2016;5;117.65
2016;6;197.76
2016;7;203.08
2016;8;184.41
2016;9;236.07
2016;10;214.69
2016;11;124.59
2016;12;28.79
2016;13;68.57
2016;14;65.5
2016;15;117.37
2016;16;70.68
2016;17;64.84
2016;18;15.87
2016;19;0.0
2016;20;0.0
2016;40;27.04
2016;41;16.29
2016;42;4.41
2016;43;14.7
2016;44;10.87
2016;45;7.33
2016;46;32.91
2016;47;3.52
2016;48;48.02
2016;49;20.03
2016;50;52.34
2016;51;149.8
2016;52;322.11
2017;1;374.21
2017;2;408.5
2017;3;462.89
2017;4;253.54
2017;5;179.79
2017;6;114.27
2017;7;62.26
2017;8;35.87
2017;9;14.64
2017;10;7.08
2017;11;0.0
2017;12;21.01
2017;13;4.46
2017;14;0.0
2017;15;4.65
2017;16;0.0
2017;17;27.68
2017;18;3.9
2017;19;0.0
2017;20;10.92
2017;40;7.24
2017;41;0.0
2017;42;8.19
2017;43;5.01
2017;44;11.12
2017;45;26.47
2017;46;15.8
2017;47;27.78
2017;48;81.33
2017;49;49.14
2017;50;170.92
2017;51;163.21
2017;52;272.58
2018;1;254.64
2018;2;288.18
2018;3;394.48
2018;4;288.44
2018;5;229.24
2018;6;244.98
2018;7;182.4
2018;8;140.89
2018;9;158.27
2018;10;124.6
2018;11;110.29
2018;12;88.32
2018;14;16.86
2018;15;13.03
2018;16;3.85
2018;17;4.57
2018;18;0.0
2018;19;3.2
2018;20;6.25
2018;40;5.67
2018;41;0.0
2018;42;2.58
2018;43;17.82
2018;44;12.57
2018;45;17.18
2018;46;24.44
2018;47;28.57
2018;48;32.75
2018;49;25.28
2018;50;38.74
2018;51;27.25
2018;52;26.31
2019;1;34.68
2019;2;98.97
2019;3;299.32
