Año;Semana;Ceuta
2015;40;0.0
2015;41;0.0
2015;42;0.0
2015;43;0.0
2015;44;0.0
2015;45;8.97
2015;46;0.0
2015;47;0.0
2015;48;10.51
2015;49;10.51
2015;50;0.0
2015;51;0.0
2015;52;21.02
2015;53;0.0
2016;1;0.0
2016;2;20.29
2016;3;81.14
2016;4;129.52
2016;5;117.74
2016;6;105.97
2016;7;142.0
2016;8;162.29
2016;9;131.86
2016;10;202.86
2016;11;97.23
2016;12;21.77
2016;13;0.0
2016;14;24.31
2016;15;0.0
2016;16;10.14
2016;17;0.0
2016;18;0.0
2016;19;0.0
2016;20;0.0
2016;41;32.26
2016;42;27.37
2016;43;9.12
2016;44;10.85
2016;45;45.62
2016;46;72.99
2016;47;76.16
2016;48;119.68
2016;49;25.9
2016;50;87.04
2016;51;16.08
2017;1;35.79
2017;2;209.78
2017;3;152.32
2017;4;108.8
2017;5;130.56
2017;6;21.76
2017;7;40.97
2017;8;0.0
2017;9;10.88
2017;10;0.0
2017;11;12.95
2017;12;12.95
2017;13;0.0
2017;14;0.0
2017;15;0.0
2017;16;21.2
2017;17;12.95
2017;18;0.0
2017;19;0.0
2017;20;0.0
2017;40;0.0
2017;41;0.0
2017;42;12.83
2017;43;0.0
2017;44;0.0
2017;45;82.66
2017;46;41.33
2017;47;0.0
2017;48;15.66
2017;49;0.0
2017;50;22.16
2017;51;55.4
2017;52;16.25
2018;1;72.32
2018;2;401.07
2018;3;432.13
2018;4;320.72
2018;5;332.41
2018;6;220.42
2018;7;232.69
2018;8;254.85
2018;9;144.04
2018;10;64.14
2018;11;44.32
2018;12;11.08
2018;14;0.0
2018;15;0.0
2018;16;0.0
2018;17;0.0
2018;18;13.55
2018;19;0.0
2018;20;0.0
2018;40;25.86
2018;41;19.6
2018;42;0.0
2018;43;25.73
2018;44;29.48
2018;45;0.0
2018;46;44.22
2018;47;12.86
2018;48;12.86
2018;49;0.0
2018;50;45.68
2018;51;45.68
2018;52;0.0
2019;1;12.86
2019;2;76.13
2019;3;114.72
