Año;Semana;Madrid
2015;40;4.33
2015;41;5.33
2015;42;2.23
2015;43;19.06
2015;44;14.58
2015;45;17.04
2015;46;7.07
2015;47;11.15
2015;48;14.66
2015;49;10.0
2015;50;11.38
2015;51;30.97
2015;52;49.54
2016;1;19.51
2016;2;20.02
2016;3;43.48
2016;4;78.67
2016;5;121.63
2016;6;129.14
2016;7;112.89
2016;8;128.89
2016;9;127.11
2016;10;142.61
2016;12;140.96
2016;13;38.97
2016;14;20.8
2016;15;13.44
2016;16;5.36
2016;17;8.6
2016;18;8.95
2016;19;2.21
2016;20;3.17
2016;40;4.19
2016;41;12.0
2016;42;10.42
2016;43;13.67
2016;44;15.95
2016;45;13.19
2016;46;12.5
2016;47;20.8
2016;48;30.74
2016;49;40.39
2016;50;27.48
2016;51;53.89
2016;52;120.46
2017;1;120.5
2017;2;171.01
2017;3;180.73
2017;4;189.59
2017;5;140.34
2017;6;67.72
2017;7;41.12
2017;8;20.82
2017;9;16.74
2017;10;12.39
2017;11;5.98
2017;12;8.49
2017;13;1.37
2017;14;1.74
2017;15;0.0
2017;16;0.72
2017;17;0.0
2017;18;3.96
2017;19;1.01
2017;20;0.0
2017;41;1.68
2017;42;10.68
2017;43;9.39
2017;44;8.06
2017;45;10.59
2017;46;9.16
2017;47;23.0
2017;48;16.73
2017;49;25.29
2017;50;42.25
2017;51;91.56
2017;52;192.66
2018;1;116.15
2018;2;154.08
2018;3;224.09
2018;4;158.87
2018;5;92.04
2018;6;94.68
2018;7;97.05
2018;8;77.37
2018;9;38.41
2018;10;23.42
2018;11;17.92
2018;12;10.59
2018;14;10.47
2018;15;3.26
2018;16;1.73
2018;17;0.0
2018;18;1.65
2018;19;1.88
2018;20;1.33
2018;40;1.61
2018;41;0.84
2018;42;4.21
2018;43;6.57
2018;44;10.78
2018;45;15.19
2018;46;14.19
2018;47;9.37
2018;48;10.49
2018;49;13.51
2018;50;12.18
2018;52;43.47
2019;1;27.81
2019;2;74.49
2019;3;127.53
