Serie mensual;001-102  I-XXII.Todas las causas;001-008  I.Enfermedades infecciosas y parasitarias;009-041  II.Tumores;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;046-049  V.Trastornos mentales y del comportamiento;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;053-061 IX.Enfermedades del sistema circulatorio;062-067  X.Enfermedades del sistema respiratorio;068-072  XI.Enfermedades del sistema digestivo;073  XII.Enfermedades de la piel y del tejido subcutáneo;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;077-080  XIV.Enfermedades del sistema genitourinario;081  XV.Embarazo, parto y puerperio;082  XVI.Afecciones originadas en el periodo perinatal;083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas;086-089  XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;090-102  XX.Causas externas de mortalidad
1980M01;28681.0;385.0;4883.0;71.0;843.0;98.0;374.0;13142.0;3150.0;1667.0;14.0;57.0;512.0;7.0;271.0;248.0;1682.0;1277.0
1980M02;23906.0;331.0;4493.0;58.0;638.0;65.0;282.0;10655.0;2442.0;1435.0;21.0;56.0;454.0;9.0;235.0;207.0;1403.0;1122.0
1980M03;25275.0;329.0;4957.0;68.0;648.0;102.0;262.0;11401.0;2380.0;1499.0;16.0;60.0;475.0;8.0;272.0;220.0;1334.0;1244.0
1980M04;22500.0;294.0;4523.0;61.0;655.0;59.0;282.0;9804.0;2136.0;1374.0;10.0;56.0;457.0;3.0;276.0;192.0;1104.0;1214.0
1980M05;22781.0;331.0;4893.0;57.0;619.0;70.0;286.0;9864.0;2061.0;1364.0;10.0;54.0;443.0;4.0;229.0;189.0;1079.0;1228.0
1980M06;21495.0;287.0;4751.0;50.0;548.0;77.0;253.0;9176.0;1799.0;1322.0;14.0;43.0;384.0;5.0;259.0;199.0;1157.0;1171.0
1980M07;22117.0;329.0;4958.0;53.0;567.0;57.0;275.0;9148.0;1811.0;1403.0;13.0;39.0;394.0;6.0;287.0;172.0;1106.0;1499.0
1980M08;22735.0;366.0;4968.0;59.0;601.0;88.0;276.0;9328.0;1864.0;1328.0;19.0;47.0;431.0;6.0;270.0;156.0;1361.0;1567.0
1980M09;21020.0;305.0;4796.0;55.0;534.0;58.0;249.0;8702.0;1581.0;1335.0;21.0;40.0;401.0;4.0;275.0;169.0;1166.0;1329.0
1980M10;22852.0;300.0;5057.0;48.0;611.0;84.0;247.0;9487.0;2020.0;1460.0;14.0;53.0;461.0;4.0;269.0;205.0;1230.0;1302.0
1980M11;23819.0;301.0;4909.0;60.0;651.0;56.0;246.0;10614.0;2200.0;1459.0;10.0;36.0;437.0;5.0;259.0;192.0;1230.0;1154.0
1980M12;32163.0;384.0;5293.0;71.0;932.0;86.0;370.0;14566.0;4265.0;1759.0;21.0;70.0;553.0;2.0;288.0;184.0;1962.0;1357.0
1981M01;35505.0;468.0;5038.0;62.0;1093.0;119.0;391.0;16323.0;5844.0;1791.0;12.0;50.0;608.0;4.0;264.0;194.0;1967.0;1277.0
