año;Andaluc?a (AN);Arag?n (AR);Asturias, Principado de (AS);Balears, Illes (IB);Canarias (CN);Cantabria (CB);Castilla - La Mancha (CM);Castilla y Le?n (CL);Catalu?a (CT);Ceuta (CE);Comunitat Valenciana (VC);Espa?a (ES);Extremadura (EX);Galicia (GA);La Rioja (RI);Madrid, Comunidad de (MD);Melilla (ML);Murcia, Regi?n de (MC);Navarra, C. Foral de (NC);Pa?s Vasco (PV)
2019;18.01;12.77;11.95;11.79;13.78;14.2;13.61;15.82;13.34;;15.09;14.16;16.16;11.96;14.25;11.21;;14.03;14.77;14.32
2018;17.45;12.67;12.55;12.05;13.49;14.14;16.96;15.25;12.98;;13.15;13.93;15.75;11.93;14.3;11.48;;13.91;14.45;13.91
2017;14.09;12.72;12.6;11.97;13.71;14.16;16.69;15.52;13.23;;12.85;13.47;15.72;12.12;14.09;11.63;;13.86;14.27;14.12
2016;14.22;11.53;12.76;11.92;14.06;17.38;16.37;15.62;13.26;;13.01;13.53;16.09;12.1;14.11;11.63;;13.51;14.6;14.28
2015;13.92;13.19;12.41;11.87;13.7;14.03;17.52;15.42;13.48;;12.36;13.42;16.03;11.98;13.66;11.3;;13.24;14.5;14.48
2014;14.23;15.14;13.13;12.95;14.12;14.12;15.34;17.26;13.61;;12.49;13.77;16.34;12.51;14.34;11.73;;12.87;15.24;14.98
2013;14.32;14.54;17.36;13.01;14.36;13.93;17.12;16.87;13.56;;12.58;14.0;16.57;12.55;13.9;11.87;;12.81;15.44;15.24
2012;15.94;12.17;12.43;13.04;13.97;10.4;16.28;15.84;13.63;;13.23;13.96;16.12;12.74;13.08;11.92;;13.42;14.81;15.5
2011;17.2;14.9;12.99;13.11;13.64;14.64;16.2;17.52;13.57;;12.94;14.17;16.54;13.05;12.64;10.9;;12.9;13.96;15.01
2010;16.75;15.44;12.93;17.17;13.51;12.89;15.67;16.77;14.42;;12.7;14.49;16.28;12.5;13.03;12.67;;12.51;14.49;15.09
2009;16.93;14.86;12.36;13.61;13.48;14.91;15.62;17.86;15.02;;12.73;14.45;15.95;12.28;13.88;11.99;;11.96;14.85;15.02
2008;17.58;14.67;13.02;13.62;13.07;14.9;15.59;15.52;15.31;;12.98;14.54;16.26;11.83;13.5;12.37;;11.58;15.09;15.02
2007;18.05;13.39;13.11;12.28;12.81;13.05;15.15;16.93;15.44;;12.89;14.53;16.14;11.74;10.46;12.84;;10.85;14.34;14.83
2006;16.82;12.12;11.97;12.71;12.0;12.44;14.38;14.53;15.12;;12.56;13.93;16.37;11.46;10.37;12.18;;12.3;14.52;14.56
2005;17.07;13.31;11.72;11.86;11.86;11.88;13.59;15.65;16.3;;12.89;14.2;17.89;11.11;12.33;11.97;;12.11;15.16;14.41
2004;16.73;13.72;12.77;13.6;12.17;11.29;14.72;15.75;15.98;;13.06;14.27;18.25;11.2;13.74;11.79;;12.34;15.34;14.46
2003;15.8;14.3;12.26;13.33;12.31;10.6;13.61;15.61;15.7;;13.26;14.15;18.64;11.79;13.76;11.78;;12.95;16.7;14.54
2002;15.88;14.32;12.68;12.61;12.6;10.58;16.1;16.5;15.3;;13.13;14.24;16.13;12.01;13.0;11.93;;13.32;17.12;14.68
