Semana;andalucia;aragon;asturias;canarias;castilla-la mancha;castilla y leon;cataluña;ceuta;madrid;com. valenciana;extrem;galicia;baleares;rioja;melilla;murcia;navarra;pais_vasco
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;0.0;2.0;0.0;0.0;1.0;0.0;2.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
10;11.0;8.0;1.0;2.0;32.0;12.0;42.0;0.0;290.0;13.0;2.0;2.0;3.0;4.0;0.0;0.0;2.0;32.0
11;93.0;33.0;20.0;12.0;242.0;145.0;384.0;0.0;1174.0;99.0;22.0;18.0;11.0;27.0;0.0;3.0;25.0;109.0
12;261.0;108.0;37.0;44.0;656.0;465.0;1174.0;1.0;2008.0;257.0;106.0;68.0;32.0;55.0;1.0;37.0;95.0;210.0
13;332.0;187.0;34.0;35.0;593.0;554.0;1272.0;2.0;1527.0;350.0;121.0;165.0;44.0;82.0;1.0;46.0;98.0;306.0
14;270.0;201.0;65.0;10.0;446.0;485.0;1098.0;1.0;1087.0;259.0;88.0;136.0;41.0;69.0;0.0;26.0;108.0;298.0
15;171.0;132.0;43.0;19.0;362.0;355.0;884.0;0.0;817.0;177.0;53.0;88.0;42.0;60.0;0.0;14.0;97.0;213.0
16;125.0;95.0;49.0;16.0;221.0;267.0;590.0;0.0;567.0;97.0;46.0;65.0;16.0;28.0;0.0;8.0;46.0;110.0
17;58.0;50.0;26.0;9.0;139.0;182.0;441.0;0.0;338.0;79.0;23.0;38.0;17.0;10.0;0.0;6.0;31.0;84.0
