Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
Total;Total;2021;47.385.107
Total;Total;2020;47.450.795
Total;Total;2019;47.026.208
Total;Total;2018;46.722.980
Total;Total;2017;46.572.132
Total;Total;2016;46.557.008
Total;Total;2015;46.624.382
Total;Total;2014;46.771.341
Total;Total;2013;47.129.783
Total;Total;2012;47.265.321
Total;Total;2011;47.190.493
Total;Total;2010;47.021.031
Total;Total;2009;46.745.807
Total;Total;2008;46.157.822
Total;Total;2007;45.200.737
Total;Total;2006;44.708.964
Total;Total;2005;44.108.530
Total;Total;2004;43.197.684
Total;Total;2003;42.717.064
Total;Total;2002;41.837.894
Total;Total;2001;41.116.842
Total;Total;2000;40.499.791
Total;Total;1999;40.202.160
Total;Total;1998;39.852.651
Total;Total;1997;""
Total;Total;1996;39.669.394
Total;Menos de 101 ;2021;78.172
Total;Menos de 101 ;2020;79.850
Total;Menos de 101 ;2019;76.828
Total;Menos de 101 ;2018;78.080
Total;Menos de 101 ;2017;75.939
Total;Menos de 101 ;2016;74.943
Total;Menos de 101 ;2015;72.436
Total;Menos de 101 ;2014;71.178
Total;Menos de 101 ;2013;70.230
Total;Menos de 101 ;2012;67.715
Total;Menos de 101 ;2011;63.540
Total;Menos de 101 ;2010;62.186
Total;Menos de 101 ;2009;64.482
Total;Menos de 101 ;2008;62.234
Total;Menos de 101 ;2007;59.638
Total;Menos de 101 ;2006;57.513
Total;Menos de 101 ;2005;59.925
Total;Menos de 101 ;2004;58.391
Total;Menos de 101 ;2003;57.435
Total;Menos de 101 ;2002;57.107
Total;Menos de 101 ;2001;57.678
Total;Menos de 101 ;2000;57.677
Total;Menos de 101 ;1999;56.052
Total;Menos de 101 ;1998;55.832
Total;Menos de 101 ;1997;""
Total;Menos de 101 ;1996;52.709
Total;De 101 a 500 ;2021;651.192
Total;De 101 a 500 ;2020;650.018
Total;De 101 a 500 ;2019;658.384
Total;De 101 a 500 ;2018;656.940
Total;De 101 a 500 ;2017;664.122
Total;De 101 a 500 ;2016;663.286
Total;De 101 a 500 ;2015;661.567
Total;De 101 a 500 ;2014;663.095
Total;De 101 a 500 ;2013;668.369
Total;De 101 a 500 ;2012;672.062
Total;De 101 a 500 ;2011;676.994
Total;De 101 a 500 ;2010;679.957
Total;De 101 a 500 ;2009;679.235
Total;De 101 a 500 ;2008;684.322
Total;De 101 a 500 ;2007;697.081
Total;De 101 a 500 ;2006;708.581
Total;De 101 a 500 ;2005;712.752
Total;De 101 a 500 ;2004;715.847
Total;De 101 a 500 ;2003;717.089
Total;De 101 a 500 ;2002;721.664
Total;De 101 a 500 ;2001;723.970
Total;De 101 a 500 ;2000;726.261
Total;De 101 a 500 ;1999;732.229
Total;De 101 a 500 ;1998;733.704
Total;De 101 a 500 ;1997;""
Total;De 101 a 500 ;1996;739.409
Total;De 501 a 1.000;2021;721.010
Total;De 501 a 1.000;2020;718.689
Total;De 501 a 1.000;2019;721.203
Total;De 501 a 1.000;2018;724.825
Total;De 501 a 1.000;2017;724.667
Total;De 501 a 1.000;2016;727.784
Total;De 501 a 1.000;2015;735.181
Total;De 501 a 1.000;2014;736.661
Total;De 501 a 1.000;2013;740.032
Total;De 501 a 1.000;2012;751.134
Total;De 501 a 1.000;2011;753.696
Total;De 501 a 1.000;2010;756.402
Total;De 501 a 1.000;2009;760.634
Total;De 501 a 1.000;2008;764.788
Total;De 501 a 1.000;2007;766.160
Total;De 501 a 1.000;2006;756.468
Total;De 501 a 1.000;2005;760.350
Total;De 501 a 1.000;2004;775.259
Total;De 501 a 1.000;2003;774.792
Total;De 501 a 1.000;2002;794.091
Total;De 501 a 1.000;2001;801.575
Total;De 501 a 1.000;2000;818.273
Total;De 501 a 1.000;1999;803.676
Total;De 501 a 1.000;1998;792.611
Total;De 501 a 1.000;1997;""
Total;De 501 a 1.000;1996;800.097
Total;De 1.001 a 2.000 ;2021;1.240.089
Total;De 1.001 a 2.000 ;2020;1.227.235
Total;De 1.001 a 2.000 ;2019;1.242.862
Total;De 1.001 a 2.000 ;2018;1.245.796
Total;De 1.001 a 2.000 ;2017;1.263.289
Total;De 1.001 a 2.000 ;2016;1.293.154
Total;De 1.001 a 2.000 ;2015;1.279.830
Total;De 1.001 a 2.000 ;2014;1.302.915
Total;De 1.001 a 2.000 ;2013;1.295.128
Total;De 1.001 a 2.000 ;2012;1.318.188
Total;De 1.001 a 2.000 ;2011;1.327.618
Total;De 1.001 a 2.000 ;2010;1.313.221
Total;De 1.001 a 2.000 ;2009;1.316.931
Total;De 1.001 a 2.000 ;2008;1.326.303
Total;De 1.001 a 2.000 ;2007;1.336.394
Total;De 1.001 a 2.000 ;2006;1.338.088
Total;De 1.001 a 2.000 ;2005;1.359.127
Total;De 1.001 a 2.000 ;2004;1.385.721
Total;De 1.001 a 2.000 ;2003;1.407.178
Total;De 1.001 a 2.000 ;2002;1.402.978
Total;De 1.001 a 2.000 ;2001;1.441.321
Total;De 1.001 a 2.000 ;2000;1.450.856
Total;De 1.001 a 2.000 ;1999;1.445.626
Total;De 1.001 a 2.000 ;1998;1.430.490
Total;De 1.001 a 2.000 ;1997;""
Total;De 1.001 a 2.000 ;1996;1.444.239
Total;De 2.001 a 5.000 ;2021;2.996.629
Total;De 2.001 a 5.000 ;2020;3.014.825
Total;De 2.001 a 5.000 ;2019;3.000.351
Total;De 2.001 a 5.000 ;2018;3.005.045
Total;De 2.001 a 5.000 ;2017;3.017.483
