indicador;nombre de indicador;a?o;ccaa;sexo;valor;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Espa?a (ES);total;2.94795105714683;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Melilla (ML);total;1.90746993661513;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Ceuta (CE);total;2.11924606933131;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;La Rioja (RI);total;3.23749129407425;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Pa?s Vasco (PV);total;3.25952202537679;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Navarra, C. Foral de (NC);total;3.3576331368201;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Murcia, Regi?n de (MC);total;3.25667756016058;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Madrid, Comunidad de (MD);total;2.73420920155169;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Galicia (GA);total;3.29986535245126;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Extremadura (EX);total;3.35514585852123;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Comunitat Valenciana (VC);total;2.32027054354538;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Catalu?a (CT);total;3.83974365965942;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Castilla - La Mancha (CM);total;2.33581368427765;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Castilla y Le?n (CL);total;3.50227783322415;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Cantabria (CB);total;3.28423874748655;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Canarias (CN);total;2.91199032849863;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Balears, Illes (IB);total;2.87812300970866;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Asturias, Principado de (AS);total;3.45982427347612;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Arag?n (AR);total;3.62604743462052;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2019;Andaluc?a (AN);total;2.18092814146571;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Espa?a (ES);total;2.97564405989454;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Melilla (ML);total;1.90145502645503;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Ceuta (CE);total;2.08451102317694;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;La Rioja (RI);total;3.19131246722349;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Pa?s Vasco (PV);total;3.2265636866597;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Navarra, C. Foral de (NC);total;3.3116784638764;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Murcia, Regi?n de (MC);total;3.21749060072219;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Madrid, Comunidad de (MD);total;2.74146775086707;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Galicia (GA);total;3.32493363099053;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Extremadura (EX);total;3.30374083530487;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Comunitat Valenciana (VC);total;2.36883787909591;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Catalu?a (CT);total;3.88449849884448;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Castilla - La Mancha (CM);total;2.33404749934386;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Castilla y Le?n (CL);total;3.52286773794808;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Cantabria (CB);total;3.28049995783198;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Canarias (CN);total;3.10970647861608;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Balears, Illes (IB);total;3.00009858680909;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Asturias, Principado de (AS);total;3.40107830973046;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Arag?n (AR);total;3.74828941079748;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2018;Andaluc?a (AN);total;2.19421497239118;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Espa?a (ES);total;2.97805559773494;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Melilla (ML);total;1.92203381836191;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;Ceuta (CE);total;2.08276949507549;
4090;Camas hospitalarias en funcionamiento por 1000 hab.;2017;La Rioja (RI);total;3.24931012184113;
