año;Andaluc?a (AN);Arag?n (AR);Asturias, Principado de (AS);Balears, Illes (IB);Canarias (CN);Cantabria (CB);Castilla - La Mancha (CM);Castilla y Le?n (CL);Catalu?a (CT);Ceuta (CE);Comunitat Valenciana (VC);Espa?a (ES);Extremadura (EX);Galicia (GA);La Rioja (RI);Madrid, Comunidad de (MD);Melilla (ML);Murcia, Regi?n de (MC);Navarra, C. Foral de (NC);Pa?s Vasco (PV)
2019;2.18;3.63;3.46;2.88;2.91;3.28;2.34;3.5;3.84;2.12;2.32;2.95;3.36;3.3;3.24;2.73;1.91;3.26;3.36;3.26
2018;2.19;3.75;3.4;3.0;3.11;3.28;2.33;3.52;3.88;2.08;2.37;2.98;3.3;3.32;3.19;2.74;1.9;3.22;3.31;3.23
2017;2.2;3.75;3.38;3.0;3.11;3.27;2.35;3.47;3.89;2.08;2.37;2.98;3.27;3.33;3.25;2.76;1.92;3.18;3.32;3.3
2016;2.17;3.71;3.28;3.09;3.1;3.29;2.36;3.43;3.85;2.1;2.36;2.97;3.26;3.33;3.24;2.77;1.9;3.24;3.33;3.3
2015;2.2;3.68;3.26;3.1;3.15;3.3;2.3;3.48;3.83;2.11;2.36;2.97;3.3;3.35;3.21;2.75;1.94;3.24;3.33;3.35
2014;2.17;3.67;3.25;2.99;3.12;3.24;2.21;3.45;3.81;2.13;2.35;2.97;3.48;3.31;3.2;2.86;1.96;3.2;3.37;3.37
2013;2.19;3.63;3.31;2.96;3.11;3.16;2.19;3.45;3.76;2.13;2.33;2.97;3.51;3.36;3.13;2.86;1.97;3.18;3.4;3.4
2012;2.22;3.68;3.39;2.99;3.12;3.27;2.31;3.62;3.93;2.35;2.32;3.03;3.48;3.48;2.95;2.89;2.12;3.15;3.54;3.6
2011;2.27;3.77;3.39;3.01;3.18;3.29;2.54;3.69;3.96;2.34;2.39;3.09;3.56;3.48;2.98;2.95;2.21;3.15;3.82;3.63
2010;2.3;3.81;3.46;3.11;3.28;3.4;2.58;3.6;4.11;2.33;2.46;3.15;3.6;3.62;2.97;2.96;2.26;3.11;3.82;3.69
2009;2.38;3.83;3.55;3.11;3.31;3.52;2.64;3.59;4.17;2.55;2.43;3.19;3.54;3.6;2.81;3.03;2.41;3.11;3.84;3.71
2008;2.41;3.84;3.56;3.24;3.36;3.61;2.63;3.57;4.19;2.72;2.44;3.22;3.62;3.62;3.0;3.1;2.38;3.14;3.86;3.75
2007;2.52;3.83;3.63;3.3;3.47;3.72;2.63;3.6;4.26;2.53;2.52;3.27;3.55;3.63;3.06;3.08;2.87;3.16;3.86;3.78
2006;2.54;3.96;3.63;3.19;3.59;3.64;2.61;3.98;4.35;2.54;2.49;3.32;3.44;3.63;3.13;3.14;2.88;3.13;3.6;3.8
2005;2.59;3.99;3.63;3.32;3.95;3.77;2.58;3.97;4.35;2.59;2.51;3.36;3.48;3.62;3.15;3.18;3.0;3.13;3.85;3.85
2004;2.67;4.05;3.57;3.46;4.01;3.77;2.64;4.12;4.47;2.59;2.58;3.42;3.46;3.66;3.36;3.14;3.0;3.1;3.9;3.82
2003;2.72;4.12;3.66;3.6;4.13;3.85;2.68;4.17;4.44;3.19;2.6;3.45;3.67;3.54;3.14;3.23;2.99;3.04;3.93;3.82
2002;2.8;4.16;3.77;3.78;4.22;3.86;2.76;4.21;4.61;3.22;2.68;3.54;3.66;3.58;3.18;3.31;3.0;3.02;4.03;3.89
2001;2.89;4.19;3.61;3.94;4.39;3.89;2.8;4.37;4.57;3.17;2.71;3.59;3.6;3.65;3.22;3.4;2.94;3.3;4.15;3.9
2000;2.96;4.23;3.85;3.99;4.52;3.82;2.86;4.38;4.65;3.09;2.82;3.68;3.64;3.69;3.18;3.58;3.44;3.29;4.21;3.96
1999;2.98;4.29;3.76;4.18;4.91;3.96;2.93;4.33;4.69;3.24;2.93;3.75;3.56;3.73;3.32;3.73;3.05;3.42;4.28;4.03
1998;3.01;4.39;3.76;4.4;4.67;4.17;2.99;4.28;4.66;3.04;2.94;3.78;3.66;3.8;3.74;3.82;3.04;3.37;4.67;4.02
1997;3.02;4.39;3.83;4.44;4.73;4.22;3.04;4.4;4.73;3.49;2.92;3.82;3.73;3.83;3.77;3.92;3.5;3.3;4.85;4.05
1996;3.05;4.51;3.83;4.35;4.77;4.29;3.02;4.41;4.86;3.73;3.0;3.89;3.75;3.9;3.63;4.01;3.55;3.39;4.81;4.18
